"_v [meter]","Freq [GHz]","x_coord [mm]","y_coord [mm]","_u []","NearETotal/max(NearETotal) []"
-4.5,2.4,1545,2356,-3.6,0.187193847800891
-4.5,2.4,1545,2356,-3.528,0.610547659666641
-4.5,2.4,1545,2356,-3.456,0.835954423737041
-4.5,2.4,1545,2356,-3.384,0.259660982446358
-4.5,2.4,1545,2356,-3.312,0.532147270976943
-4.5,2.4,1545,2356,-3.24,0.60853821256003
-4.5,2.4,1545,2356,-3.168,0.673959273334771
-4.5,2.4,1545,2356,-3.096,0.362410597549438
-4.5,2.4,1545,2356,-3.024,0.803002877014574
-4.5,2.4,1545,2356,-2.952,0.68749218680238
-4.5,2.4,1545,2356,-2.88,0.501486572266037
-4.5,2.4,1545,2356,-2.808,0.73839958213706
-4.5,2.4,1545,2356,-2.736,0.777009179075165
-4.5,2.4,1545,2356,-2.664,0.402415070783611
-4.5,2.4,1545,2356,-2.592,0.722355179330341
-4.5,2.4,1545,2356,-2.52,0.579497335593329
-4.5,2.4,1545,2356,-2.448,0.606396210785299
-4.5,2.4,1545,2356,-2.376,0.726098782781183
-4.5,2.4,1545,2356,-2.304,0.659457838549502
-4.5,2.4,1545,2356,-2.232,0.498431864431103
-4.5,2.4,1545,2356,-2.16,0.788645297838261
-4.5,2.4,1545,2356,-2.088,0.541062170241455
-4.5,2.4,1545,2356,-2.016,0.781262560126573
-4.5,2.4,1545,2356,-1.944,0.3713719206023
-4.5,2.4,1545,2356,-1.872,0.822110623579912
-4.5,2.4,1545,2356,-1.8,0.634275138467085
-4.5,2.4,1545,2356,-1.728,0.445951182511285
-4.5,2.4,1545,2356,-1.656,0.666076408326456
-4.5,2.4,1545,2356,-1.584,0.604999124540315
-4.5,2.4,1545,2356,-1.512,1
-4.5,2.4,1545,2356,-1.44,0.352292431993372
-4.5,2.4,1545,2356,-1.368,0.707782969620345
-4.5,2.4,1545,2356,-1.296,0.769425607845595
-4.5,2.4,1545,2356,-1.224,0.326634942832196
-4.5,2.4,1545,2356,-1.152,0.831606948235843
-4.5,2.4,1545,2356,-1.08,0.564887673406673
-4.5,2.4,1545,2356,-1.008,0.442857998994826
-4.5,2.4,1545,2356,-0.936,0.40603364336805
-4.5,2.4,1545,2356,-0.864,0.374490633005116
-4.5,2.4,1545,2356,-0.792,0.393570183952596
-4.5,2.4,1545,2356,-0.72,0.366257484071409
-4.5,2.4,1545,2356,-0.648,0.120858741542159
-4.5,2.4,1545,2356,-0.576,0.0982812853697094
-4.5,2.4,1545,2356,-0.504,0.247139122852587
-4.5,2.4,1545,2356,-0.432,0.196069042147202
-4.5,2.4,1545,2356,-0.36,0.105692881231897
-4.5,2.4,1545,2356,-0.288,0.121263991801945
-4.5,2.4,1545,2356,-0.216,0.0927618979240506
-4.5,2.4,1545,2356,-0.144,0.0942152119389249
-4.5,2.4,1545,2356,-0.0719999999999996,0.0733547386317974
-4.5,2.4,1545,2356,0,0.0475361822323008
-4.5,2.4,1545,2356,0.0720000000000005,0.0605849408661255
-4.5,2.4,1545,2356,0.144000000000001,0.0941430526353332
-4.5,2.4,1545,2356,0.216,0.124224998381359
-4.5,2.4,1545,2356,0.288,0.198473893332152
-4.5,2.4,1545,2356,0.36,0.152832647347604
-4.5,2.4,1545,2356,0.432,0.217769420693135
-4.5,2.4,1545,2356,0.504,0.0834086813485637
-4.5,2.4,1545,2356,0.576,0.0708718468034549
-4.5,2.4,1545,2356,0.648,0.0736599718766655
-4.5,2.4,1545,2356,0.72,0.0501332428074867
-4.5,2.4,1545,2356,0.792,0.0768665257671288
-4.5,2.4,1545,2356,0.864,0.107608617039898
-4.5,2.4,1545,2356,0.936,0.102989073457454
-4.5,2.4,1545,2356,1.008,0.181090140159784
-4.5,2.4,1545,2356,1.08,0.12797629735261
-4.5,2.4,1545,2356,1.152,0.150738977616969
-4.5,2.4,1545,2356,1.224,0.078557037767765
-4.5,2.4,1545,2356,1.296,0.171435309955929
-4.5,2.4,1545,2356,1.368,0.0996038477488385
-4.5,2.4,1545,2356,1.44,0.185620487931538
-4.5,2.4,1545,2356,1.512,0.23609309998269
-4.5,2.4,1545,2356,1.584,0.105832696825444
-4.5,2.4,1545,2356,1.656,0.122658101034326
-4.5,2.4,1545,2356,1.728,0.122319195906487
-4.5,2.4,1545,2356,1.8,0.0698185139193451
-4.5,2.4,1545,2356,1.872,0.0646704795808563
-4.5,2.4,1545,2356,1.944,0.115866750734249
-4.5,2.4,1545,2356,2.016,0.10488941809496
-4.5,2.4,1545,2356,2.088,0.0518711300942289
-4.5,2.4,1545,2356,2.16,0.0860823131198856
-4.5,2.4,1545,2356,2.232,0.0832742929507816
-4.5,2.4,1545,2356,2.304,0.0671448994969998
-4.5,2.4,1545,2356,2.376,0.0967849622554947
-4.5,2.4,1545,2356,2.448,0.108409600366481
-4.5,2.4,1545,2356,2.52,0.136230289904808
-4.5,2.4,1545,2356,2.592,0.130045383200329
-4.5,2.4,1545,2356,2.664,0.113276064175345
-4.5,2.4,1545,2356,2.736,0.138483995024038
-4.5,2.4,1545,2356,2.808,0.12607257274268
