"_v [meter]","Freq [GHz]","x_coord [mm]","y_coord [mm]","_u []","NearETotal/max(NearETotal) []"
-4.5,2.4,3470,8594,-3.6,0.0527621334485997
-4.5,2.4,3470,8594,-3.528,0.0682326267989633
-4.5,2.4,3470,8594,-3.456,0.0966052277695399
-4.5,2.4,3470,8594,-3.384,0.121890875128872
-4.5,2.4,3470,8594,-3.312,0.134005064955
-4.5,2.4,3470,8594,-3.24,0.128288001847102
-4.5,2.4,3470,8594,-3.168,0.105809565805094
-4.5,2.4,3470,8594,-3.096,0.0750207090605217
-4.5,2.4,3470,8594,-3.024,0.0638800680829862
-4.5,2.4,3470,8594,-2.952,0.0942079652220175
-4.5,2.4,3470,8594,-2.88,0.137576152518258
-4.5,2.4,3470,8594,-2.808,0.172942132285848
-4.5,2.4,3470,8594,-2.736,0.191333443743238
-4.5,2.4,3470,8594,-2.664,0.188670730632072
-4.5,2.4,3470,8594,-2.592,0.165070515866818
-4.5,2.4,3470,8594,-2.52,0.125407267436809
-4.5,2.4,3470,8594,-2.448,0.0867402024807938
-4.5,2.4,3470,8594,-2.376,0.0941550270480712
-4.5,2.4,3470,8594,-2.304,0.151959736766755
-4.5,2.4,3470,8594,-2.232,0.221649243094395
-4.5,2.4,3470,8594,-2.16,0.286294258551891
-4.5,2.4,3470,8594,-2.088,0.338075057232409
-4.5,2.4,3470,8594,-2.016,0.372674327978128
-4.5,2.4,3470,8594,-1.944,0.388082078537404
-4.5,2.4,3470,8594,-1.872,0.384966955242546
-4.5,2.4,3470,8594,-1.8,0.365477982771233
-4.5,2.4,3470,8594,-1.728,0.333481653901726
-4.5,2.4,3470,8594,-1.656,0.294148483539949
-4.5,2.4,3470,8594,-1.584,0.254148378088583
-4.5,2.4,3470,8594,-1.512,0.22122173300422
-4.5,2.4,3470,8594,-1.44,0.203672320761203
-4.5,2.4,3470,8594,-1.368,0.205985304276544
-4.5,2.4,3470,8594,-1.296,0.225042116427214
-4.5,2.4,3470,8594,-1.224,0.253595682845494
-4.5,2.4,3470,8594,-1.152,0.285266648400371
-4.5,2.4,3470,8594,-1.08,0.3150557328012
-4.5,2.4,3470,8594,-1.008,0.341292675476665
-4.5,2.4,3470,8594,-0.936,0.362612379929224
-4.5,2.4,3470,8594,-0.864,0.379297970893881
-4.5,2.4,3470,8594,-0.792,0.390893005210455
-4.5,2.4,3470,8594,-0.72,0.398657017233679
-4.5,2.4,3470,8594,-0.648,0.402910940140729
-4.5,2.4,3470,8594,-0.576,0.404439579692257
-4.5,2.4,3470,8594,-0.504,0.403868780638457
-4.5,2.4,3470,8594,-0.432,0.401575407000902
-4.5,2.4,3470,8594,-0.36,0.397631348703224
-4.5,2.4,3470,8594,-0.288,0.405307708748632
-4.5,2.4,3470,8594,-0.216,0.411854230182239
-4.5,2.4,3470,8594,-0.144,0.419575066792481
-4.5,2.4,3470,8594,-0.0719999999999996,0.428390605568971
-4.5,2.4,3470,8594,0,0.438608673304892
-4.5,2.4,3470,8594,0.0720000000000005,0.45056082683999
-4.5,2.4,3470,8594,0.144000000000001,0.465195057360446
-4.5,2.4,3470,8594,0.216,0.480961888460934
-4.5,2.4,3470,8594,0.288,0.498431246296848
-4.5,2.4,3470,8594,0.36,0.517222049253458
-4.5,2.4,3470,8594,0.432,0.536502859400759
