"_v [meter]","Freq [GHz]","x_coord [mm]","y_coord [mm]","_u []","NearETotal/max(NearETotal) []"
-4.5,2.4,3538,6219,-3.6,0.647036072048371
-4.5,2.4,3538,6219,-3.528,0.602793784885518
-4.5,2.4,3538,6219,-3.456,0.543542320680508
-4.5,2.4,3538,6219,-3.384,0.55715027626084
-4.5,2.4,3538,6219,-3.312,0.626060730380578
-4.5,2.4,3538,6219,-3.24,0.675659666947603
-4.5,2.4,3538,6219,-3.168,0.691463724607385
-4.5,2.4,3538,6219,-3.096,0.69667018289498
-4.5,2.4,3538,6219,-3.024,0.694311812538578
-4.5,2.4,3538,6219,-2.952,0.693726427814005
-4.5,2.4,3538,6219,-2.88,0.720084177885071
-4.5,2.4,3538,6219,-2.808,0.721977709650028
-4.5,2.4,3538,6219,-2.736,0.639686428482356
-4.5,2.4,3538,6219,-2.664,0.557198156428461
-4.5,2.4,3538,6219,-2.592,0.613695371284276
-4.5,2.4,3538,6219,-2.52,0.713253738607955
-4.5,2.4,3538,6219,-2.448,0.702270840406188
-4.5,2.4,3538,6219,-2.376,0.613832060049168
-4.5,2.4,3538,6219,-2.304,0.576924286109399
-4.5,2.4,3538,6219,-2.232,0.607022789588597
-4.5,2.4,3538,6219,-2.16,0.614447195941436
-4.5,2.4,3538,6219,-2.088,0.626922939113328
-4.5,2.4,3538,6219,-2.016,0.665041395277418
-4.5,2.4,3538,6219,-1.944,0.692132799206303
-4.5,2.4,3538,6219,-1.872,0.690260282559513
-4.5,2.4,3538,6219,-1.8,0.620629440414681
-4.5,2.4,3538,6219,-1.728,0.534703431421754
-4.5,2.4,3538,6219,-1.656,0.559840312399341
-4.5,2.4,3538,6219,-1.584,0.630194041683162
-4.5,2.4,3538,6219,-1.512,0.674082185431385
-4.5,2.4,3538,6219,-1.44,0.662569373334739
-4.5,2.4,3538,6219,-1.368,0.580883403749212
-4.5,2.4,3538,6219,-1.296,0.577154298861293
-4.5,2.4,3538,6219,-1.224,0.635727908569254
-4.5,2.4,3538,6219,-1.152,0.595690941125036
-4.5,2.4,3538,6219,-1.08,0.550255640339296
-4.5,2.4,3538,6219,-1.008,0.591476405316148
-4.5,2.4,3538,6219,-0.936,0.565022856384216
-4.5,2.4,3538,6219,-0.864,0.552429572526745
-4.5,2.4,3538,6219,-0.792,0.562999917634525
-4.5,2.4,3538,6219,-0.72,0.592618887716054
-4.5,2.4,3538,6219,-0.648,0.627404501048118
-4.5,2.4,3538,6219,-0.576,0.518546499656013
-4.5,2.4,3538,6219,-0.504,0.493540097142502
-4.5,2.4,3538,6219,-0.432,0.672074227176506
-4.5,2.4,3538,6219,-0.36,0.57972020875166
-4.5,2.4,3538,6219,-0.288,0.52416492869258
-4.5,2.4,3538,6219,-0.216,0.589335080288308
-4.5,2.4,3538,6219,-0.144,0.594479773240739
-4.5,2.4,3538,6219,-0.0719999999999996,0.672759454352234
-4.5,2.4,3538,6219,0,0.538487765733565
-4.5,2.4,3538,6219,0.0720000000000005,0.521040576842949
-4.5,2.4,3538,6219,0.144000000000001,0.595470899145476
-4.5,2.4,3538,6219,0.216,0.507767183929332
-4.5,2.4,3538,6219,0.288,0.608553359113477
-4.5,2.4,3538,6219,0.36,0.488565854331869
-4.5,2.4,3538,6219,0.432,0.56156585937781
-4.5,2.4,3538,6219,0.504,0.641727065834359
-4.5,2.4,3538,6219,0.576,0.431740039316417
-4.5,2.4,3538,6219,0.648,0.575791976676625
-4.5,2.4,3538,6219,0.72,0.500740633434057
-4.5,2.4,3538,6219,0.792,0.561324070195102
-4.5,2.4,3538,6219,0.864,0.50496453082735
-4.5,2.4,3538,6219,0.936,0.553307144874719
-4.5,2.4,3538,6219,1.008,0.639418865142146
-4.5,2.4,3538,6219,1.08,0.599870318238527
-4.5,2.4,3538,6219,1.152,0.752708503214717
-4.5,2.4,3538,6219,1.224,0.752799459157662
-4.5,2.4,3538,6219,1.296,0.690162391907083
-4.5,2.4,3538,6219,1.368,0.637040848626058
-4.5,2.4,3538,6219,1.44,0.642703360142382
-4.5,2.4,3538,6219,1.512,0.777720856433125
-4.5,2.4,3538,6219,1.584,0.704705174586047
-4.5,2.4,3538,6219,1.656,0.666347579825978
-4.5,2.4,3538,6219,1.728,0.770607335746676
-4.5,2.4,3538,6219,1.8,0.637602471372965
-4.5,2.4,3538,6219,1.872,0.532683861839961
-4.5,2.4,3538,6219,1.944,0.745073244914531
-4.5,2.4,3538,6219,2.016,0.711876909587538
-4.5,2.4,3538,6219,2.088,0.633146757895032
-4.5,2.4,3538,6219,2.16,0.802568856797785
-4.5,2.4,3538,6219,2.232,0.668303799549285
-4.5,2.4,3538,6219,2.304,0.729938661553453
-4.5,2.4,3538,6219,2.376,0.852597004774615
-4.5,2.4,3538,6219,2.448,0.683048957982764
-4.5,2.4,3538,6219,2.52,0.773136392946848
-4.5,2.4,3538,6219,2.592,0.766741550858038
-4.5,2.4,3538,6219,2.664,0.682794514364924
-4.5,2.4,3538,6219,2.736,0.884170982882388
-4.5,2.4,3538,6219,2.808,0.902956777669839
-4.5,2.4,3538,6219,2.88,0.832809584099994
-4.5,2.4,3538,6219,2.952,0.885572230915669
-4.5,2.4,3538,6219,3.024,0.833861952376151
-4.5,2.4,3538,6219,3.096,0.733465737228214
-4.5,2.4,3538,6219,3.168,0.805132258544193
-4.5,2.4,3538,6219,3.24,0.836574401580755
-4.5,2.4,3538,6219,3.312,0.769920478157406
-4.5,2.4,3538,6219,3.384,0.823698272616162
-4.5,2.4,3538,6219,3.456,0.835728228426794
-4.5,2.4,3538,6219,3.528,0.855634057368764
-4.5,2.4,3538,6219,3.6,1
-4.41,2.4,3538,6219,-3.6,0.610352282300814
-4.41,2.4,3538,6219,-3.528,0.636156605809101
-4.41,2.4,3538,6219,-3.456,0.611792552239206
-4.41,2.4,3538,6219,-3.384,0.554628833174984
-4.41,2.4,3538,6219,-3.312,0.554818409094504
-4.41,2.4,3538,6219,-3.24,0.622033291072231
-4.41,2.4,3538,6219,-3.168,0.684164909593861
-4.41,2.4,3538,6219,-3.096,0.699150435943241
-4.41,2.4,3538,6219,-3.024,0.692604935677483
-4.41,2.4,3538,6219,-2.952,0.686940812021791
-4.41,2.4,3538,6219,-2.88,0.688494288411649
-4.41,2.4,3538,6219,-2.808,0.71140723483752
-4.41,2.4,3538,6219,-2.736,0.705094800609719
-4.41,2.4,3538,6219,-2.664,0.624308370734976
-4.41,2.4,3538,6219,-2.592,0.546860748709727
-4.41,2.4,3538,6219,-2.52,0.61539660333931
-4.41,2.4,3538,6219,-2.448,0.717041273243314
-4.41,2.4,3538,6219,-2.376,0.689790286255227
-4.41,2.4,3538,6219,-2.304,0.589539456427241
-4.41,2.4,3538,6219,-2.232,0.568300190635922
-4.41,2.4,3538,6219,-2.16,0.611759980848711
-4.41,2.4,3538,6219,-2.088,0.620834558656532
-4.41,2.4,3538,6219,-2.016,0.635168577175484
-4.41,2.4,3538,6219,-1.944,0.674320460011646
-4.41,2.4,3538,6219,-1.872,0.687138827696453
-4.41,2.4,3538,6219,-1.8,0.663678585775671
-4.41,2.4,3538,6219,-1.728,0.586206552239991
-4.41,2.4,3538,6219,-1.656,0.524252619263387
-4.41,2.4,3538,6219,-1.584,0.594565746152519
-4.41,2.4,3538,6219,-1.512,0.662193258358305
-4.41,2.4,3538,6219,-1.44,0.662735911445986
-4.41,2.4,3538,6219,-1.368,0.628346227271198
-4.41,2.4,3538,6219,-1.296,0.563269577891559
-4.41,2.4,3538,6219,-1.224,0.586471899198781
-4.41,2.4,3538,6219,-1.152,0.631738584223653
-4.41,2.4,3538,6219,-1.08,0.556115388779125
-4.41,2.4,3538,6219,-1.008,0.550004958670407
-4.41,2.4,3538,6219,-0.936,0.58804861008139
-4.41,2.4,3538,6219,-0.864,0.539527972293849
-4.41,2.4,3538,6219,-0.792,0.557275263661452
-4.41,2.4,3538,6219,-0.72,0.574052352982859
-4.41,2.4,3538,6219,-0.648,0.614105624647599
-4.41,2.4,3538,6219,-0.576,0.574464740049742
-4.41,2.4,3538,6219,-0.504,0.465392156921945
-4.41,2.4,3538,6219,-0.432,0.598567504464116
-4.41,2.4,3538,6219,-0.36,0.663277613546541
-4.41,2.4,3538,6219,-0.288,0.497551141629459
-4.41,2.4,3538,6219,-0.216,0.572915558643992
-4.41,2.4,3538,6219,-0.144,0.611136828220115
-4.41,2.4,3538,6219,-0.0719999999999996,0.637584683629832
-4.41,2.4,3538,6219,0,0.610431504803772
-4.41,2.4,3538,6219,0.0720000000000005,0.465374224991416
-4.41,2.4,3538,6219,0.144000000000001,0.58188359884843
-4.41,2.4,3538,6219,0.216,0.548238088962639
-4.41,2.4,3538,6219,0.288,0.557880068573181
-4.41,2.4,3538,6219,0.36,0.556151488367824
-4.41,2.4,3538,6219,0.432,0.454714007457689
-4.41,2.4,3538,6219,0.504,0.654427473292157
-4.41,2.4,3538,6219,0.576,0.504606130368181
-4.41,2.4,3538,6219,0.648,0.501141087594482
-4.41,2.4,3538,6219,0.72,0.560474873268065
-4.41,2.4,3538,6219,0.792,0.520131518476246
-4.41,2.4,3538,6219,0.864,0.508449846252177
-4.41,2.4,3538,6219,0.936,0.526506396772892
-4.41,2.4,3538,6219,1.008,0.658002249904701
-4.41,2.4,3538,6219,1.08,0.607779092665965
-4.41,2.4,3538,6219,1.152,0.766748426624345
-4.41,2.4,3538,6219,1.224,0.708681630195225
-4.41,2.4,3538,6219,1.296,0.677790391171824
-4.41,2.4,3538,6219,1.368,0.695170666276499
-4.41,2.4,3538,6219,1.44,0.645045332563963
-4.41,2.4,3538,6219,1.512,0.747853101873937
-4.41,2.4,3538,6219,1.584,0.70101943051542
-4.41,2.4,3538,6219,1.656,0.684259632790806
-4.41,2.4,3538,6219,1.728,0.750252065803462
-4.41,2.4,3538,6219,1.8,0.602474569195275
-4.41,2.4,3538,6219,1.872,0.554277027791974
-4.41,2.4,3538,6219,1.944,0.766378768984289
-4.41,2.4,3538,6219,2.016,0.6903704864981
-4.41,2.4,3538,6219,2.088,0.623194663333192
-4.41,2.4,3538,6219,2.16,0.817026733188497
-4.41,2.4,3538,6219,2.232,0.662991331015537
-4.41,2.4,3538,6219,2.304,0.715386401141337
-4.41,2.4,3538,6219,2.376,0.83491423429712
-4.41,2.4,3538,6219,2.448,0.707517261737863
-4.41,2.4,3538,6219,2.52,0.803995005565915
-4.41,2.4,3538,6219,2.592,0.72197014584116
-4.41,2.4,3538,6219,2.664,0.702535901374266
-4.41,2.4,3538,6219,2.736,0.930062223002972
-4.41,2.4,3538,6219,2.808,0.89577988167156
-4.41,2.4,3538,6219,2.88,0.835976621600535
-4.41,2.4,3538,6219,2.952,0.863378970705259
-4.41,2.4,3538,6219,3.024,0.77837938107965
-4.41,2.4,3538,6219,3.096,0.733985708252892
-4.41,2.4,3538,6219,3.168,0.827049097569591
-4.41,2.4,3538,6219,3.24,0.809019552254511
-4.41,2.4,3538,6219,3.312,0.779620106916854
-4.41,2.4,3538,6219,3.384,0.863424894427461
-4.41,2.4,3538,6219,3.456,0.849583758018151
-4.41,2.4,3538,6219,3.528,0.901338596761838
-4.41,2.4,3538,6219,3.6,1
-4.32,2.4,3538,6219,-3.6,0.592004453802242
-4.32,2.4,3538,6219,-3.528,0.603997552207557
-4.32,2.4,3538,6219,-3.456,0.641526975039228
-4.32,2.4,3538,6219,-3.384,0.632177481290546
-4.32,2.4,3538,6219,-3.312,0.583173165713661
-4.32,2.4,3538,6219,-3.24,0.568369290812078
-4.32,2.4,3538,6219,-3.168,0.636225544247443
-4.32,2.4,3538,6219,-3.096,0.709960493481826
-4.32,2.4,3538,6219,-3.024,0.728123782910052
-4.32,2.4,3538,6219,-2.952,0.706539571036753
-4.32,2.4,3538,6219,-2.88,0.692688937850328
