"_v [meter]","Freq [GHz]","x_coord [mm]","y_coord [mm]","_u []","NearETotal/max(NearETotal) []"
-4.5,2.4,5848,8813,-3.6,0.559457653643313
-4.5,2.4,5848,8813,-3.528,0.313065851613484
-4.5,2.4,5848,8813,-3.456,0.180206569071648
-4.5,2.4,5848,8813,-3.384,0.296711602066489
-4.5,2.4,5848,8813,-3.312,0.501095217171819
-4.5,2.4,5848,8813,-3.24,0.486977757418713
-4.5,2.4,5848,8813,-3.168,0.539861100784564
-4.5,2.4,5848,8813,-3.096,0.605978315470083
-4.5,2.4,5848,8813,-3.024,0.545347132569192
-4.5,2.4,5848,8813,-2.952,0.537077264179323
-4.5,2.4,5848,8813,-2.88,0.56749198044138
-4.5,2.4,5848,8813,-2.808,0.44098250709526
-4.5,2.4,5848,8813,-2.736,0.226573052409157
-4.5,2.4,5848,8813,-2.664,0.269601354561952
-4.5,2.4,5848,8813,-2.592,0.368916053572017
-4.5,2.4,5848,8813,-2.52,0.397887366194773
-4.5,2.4,5848,8813,-2.448,0.431159356814802
-4.5,2.4,5848,8813,-2.376,0.422128423323596
-4.5,2.4,5848,8813,-2.304,0.216303287948084
-4.5,2.4,5848,8813,-2.232,0.264446482763429
-4.5,2.4,5848,8813,-2.16,0.504624992775838
-4.5,2.4,5848,8813,-2.088,0.57614187634927
-4.5,2.4,5848,8813,-2.016,0.663699938317101
-4.5,2.4,5848,8813,-1.944,0.697984028880225
-4.5,2.4,5848,8813,-1.872,0.549117407606017
-4.5,2.4,5848,8813,-1.8,0.391283471129829
-4.5,2.4,5848,8813,-1.728,0.333768044871076
-4.5,2.4,5848,8813,-1.656,0.239756066650592
-4.5,2.4,5848,8813,-1.584,0.165625715379722
-4.5,2.4,5848,8813,-1.512,0.182710766154298
-4.5,2.4,5848,8813,-1.44,0.112066371757722
-4.5,2.4,5848,8813,-1.368,0.143552134951817
-4.5,2.4,5848,8813,-1.296,0.0760286250408578
-4.5,2.4,5848,8813,-1.224,0.198940375044834
-4.5,2.4,5848,8813,-1.152,0.334046457645085
-4.5,2.4,5848,8813,-1.08,0.380869028754301
-4.5,2.4,5848,8813,-1.008,0.492335125841605
-4.5,2.4,5848,8813,-0.936,0.651475949595357
-4.5,2.4,5848,8813,-0.864,0.554340674266711
-4.5,2.4,5848,8813,-0.792,0.412536270050063
-4.5,2.4,5848,8813,-0.72,0.282403663853818
-4.5,2.4,5848,8813,-0.648,0.419067126015292
-4.5,2.4,5848,8813,-0.576,0.318251349885708
-4.5,2.4,5848,8813,-0.504,0.254837356709131
-4.5,2.4,5848,8813,-0.432,0.515072157291719
-4.5,2.4,5848,8813,-0.36,0.48197480226362
-4.5,2.4,5848,8813,-0.288,0.39648992099751
-4.5,2.4,5848,8813,-0.216,0.502932495308788
-4.5,2.4,5848,8813,-0.144,0.68571644272197
-4.5,2.4,5848,8813,-0.0719999999999996,0.66335766281085
-4.5,2.4,5848,8813,0,0.408469860070643
-4.5,2.4,5848,8813,0.0720000000000005,0.66332085084423
-4.5,2.4,5848,8813,0.144000000000001,0.600857389029754
-4.5,2.4,5848,8813,0.216,0.49587730312032
-4.5,2.4,5848,8813,0.288,0.345070447917654
-4.5,2.4,5848,8813,0.36,0.879615043791177
-4.5,2.4,5848,8813,0.432,0.752461290254595
-4.5,2.4,5848,8813,0.504,0.380514797102477
-4.5,2.4,5848,8813,0.576,0.618224437492133
-4.5,2.4,5848,8813,0.648,0.840877205793365
-4.5,2.4,5848,8813,0.72,0.819006572436947
-4.5,2.4,5848,8813,0.792,0.333144264420172
-4.5,2.4,5848,8813,0.864,1
-4.5,2.4,5848,8813,0.936,0.728684825414613
-4.5,2.4,5848,8813,1.008,0.738127623256225
-4.5,2.4,5848,8813,1.08,0.336355543386774
-4.5,2.4,5848,8813,1.152,0.498626440506918
-4.5,2.4,5848,8813,1.224,0.637446113760657
-4.5,2.4,5848,8813,1.296,0.871432108151763
-4.5,2.4,5848,8813,1.368,0.71722256806179
-4.5,2.4,5848,8813,1.44,0.641655809312191
-4.5,2.4,5848,8813,1.512,0.530641940157326
-4.5,2.4,5848,8813,1.584,0.377756377581096
-4.5,2.4,5848,8813,1.656,0.636543336494973
-4.5,2.4,5848,8813,1.728,0.43783965255942
-4.5,2.4,5848,8813,1.8,0.541461683040955
-4.5,2.4,5848,8813,1.872,0.646172258625935
-4.5,2.4,5848,8813,1.944,0.627126961087558
-4.5,2.4,5848,8813,2.016,0.591078515742833
-4.5,2.4,5848,8813,2.088,0.732991470418282
-4.5,2.4,5848,8813,2.16,0.666966817445155
-4.5,2.4,5848,8813,2.232,0.836739977515
