"_v [meter]","Freq [GHz]","x_coord [mm]","y_coord [mm]","_u []","NearETotal/max(NearETotal) []"
-4.5,2.4,2452,6266,-3.6,0.428815148141479
-4.5,2.4,2452,6266,-3.528,0.415146075698752
-4.5,2.4,2452,6266,-3.456,0.33038818257603
-4.5,2.4,2452,6266,-3.384,0.257594439338537
-4.5,2.4,2452,6266,-3.312,0.240748191461763
-4.5,2.4,2452,6266,-3.24,0.260602480816141
-4.5,2.4,2452,6266,-3.168,0.363283403970178
-4.5,2.4,2452,6266,-3.096,0.394279712367748
-4.5,2.4,2452,6266,-3.024,0.382195003554672
-4.5,2.4,2452,6266,-2.952,0.383998423287074
-4.5,2.4,2452,6266,-2.88,0.224090464195102
-4.5,2.4,2452,6266,-2.808,0.487482059754553
-4.5,2.4,2452,6266,-2.736,0.469786353093904
-4.5,2.4,2452,6266,-2.664,0.161746501746377
-4.5,2.4,2452,6266,-2.592,0.223323592269174
-4.5,2.4,2452,6266,-2.52,0.164960841530887
-4.5,2.4,2452,6266,-2.448,0.202869996495522
-4.5,2.4,2452,6266,-2.376,0.219928604661106
-4.5,2.4,2452,6266,-2.304,0.426534346877612
-4.5,2.4,2452,6266,-2.232,0.397937950922458
-4.5,2.4,2452,6266,-2.16,0.409112132434118
-4.5,2.4,2452,6266,-2.088,0.375879413773283
-4.5,2.4,2452,6266,-2.016,0.469050395244319
-4.5,2.4,2452,6266,-1.944,0.380322988517683
-4.5,2.4,2452,6266,-1.872,0.251809792626276
-4.5,2.4,2452,6266,-1.8,0.474175499996252
-4.5,2.4,2452,6266,-1.728,0.444599181822284
-4.5,2.4,2452,6266,-1.656,0.528366587708283
-4.5,2.4,2452,6266,-1.584,0.595945014919828
-4.5,2.4,2452,6266,-1.512,0.652796517135212
-4.5,2.4,2452,6266,-1.44,0.780007173792146
-4.5,2.4,2452,6266,-1.368,0.903316265782548
-4.5,2.4,2452,6266,-1.296,0.676501155763122
-4.5,2.4,2452,6266,-1.224,0.778119463895629
-4.5,2.4,2452,6266,-1.152,0.758107808701894
-4.5,2.4,2452,6266,-1.08,0.752183721118646
-4.5,2.4,2452,6266,-1.008,0.873036848580929
-4.5,2.4,2452,6266,-0.936,1
-4.5,2.4,2452,6266,-0.864,0.997512342093549
-4.5,2.4,2452,6266,-0.792,0.750545788868532
-4.5,2.4,2452,6266,-0.72,0.594715247980348
-4.5,2.4,2452,6266,-0.648,0.258598366407722
-4.5,2.4,2452,6266,-0.576,0.139661926669428
-4.5,2.4,2452,6266,-0.504,0.293924802148142
-4.5,2.4,2452,6266,-0.432,0.304449250640816
-4.5,2.4,2452,6266,-0.36,0.275205152451391
-4.5,2.4,2452,6266,-0.288,0.209056945757077
-4.5,2.4,2452,6266,-0.216,0.153084852289983
-4.5,2.4,2452,6266,-0.144,0.219525459493092
-4.5,2.4,2452,6266,-0.0719999999999996,0.138776298774694
-4.5,2.4,2452,6266,0,0.0601611489463507
-4.5,2.4,2452,6266,0.0720000000000005,0.246367459234842
-4.5,2.4,2452,6266,0.144000000000001,0.158412356054467
-4.5,2.4,2452,6266,0.216,0.356163823790847
-4.5,2.4,2452,6266,0.288,0.351892356699714
-4.5,2.4,2452,6266,0.36,0.354652888345578
-4.5,2.4,2452,6266,0.432,0.310807711992341
-4.5,2.4,2452,6266,0.504,0.27482816215492
-4.5,2.4,2452,6266,0.576,0.267715236955725
-4.5,2.4,2452,6266,0.648,0.112124236932573
-4.5,2.4,2452,6266,0.72,0.237809862951392
-4.5,2.4,2452,6266,0.792,0.157356652415708
-4.5,2.4,2452,6266,0.864,0.147494307882984
-4.5,2.4,2452,6266,0.936,0.267790831488407
-4.5,2.4,2452,6266,1.008,0.324945932304443
-4.5,2.4,2452,6266,1.08,0.267935530143178
-4.5,2.4,2452,6266,1.152,0.287864268319899
-4.5,2.4,2452,6266,1.224,0.238033226810337
-4.5,2.4,2452,6266,1.296,0.290239392426304
-4.5,2.4,2452,6266,1.368,0.363224163889301
-4.5,2.4,2452,6266,1.44,0.256384213606771
-4.5,2.4,2452,6266,1.512,0.11863371881435
-4.5,2.4,2452,6266,1.584,0.115368112795283
-4.5,2.4,2452,6266,1.656,0.146116540392384
-4.5,2.4,2452,6266,1.728,0.196266237204725
-4.5,2.4,2452,6266,1.8,0.24607732936129
-4.5,2.4,2452,6266,1.872,0.221389004334148
-4.5,2.4,2452,6266,1.944,0.209788886241231
-4.5,2.4,2452,6266,2.016,0.272780079510226
-4.5,2.4,2452,6266,2.088,0.340816588212405
-4.5,2.4,2452,6266,2.16,0.364443193350046
-4.5,2.4,2452,6266,2.232,0.385978440236047
-4.5,2.4,2452,6266,2.304,0.37977761845972
-4.5,2.4,2452,6266,2.376,0.319553487838246
-4.5,2.4,2452,6266,2.448,0.244710966306903
-4.5,2.4,2452,6266,2.52,0.246530989471419
-4.5,2.4,2452,6266,2.592,0.290480446403098
-4.5,2.4,2452,6266,2.664,0.298441821890051
-4.5,2.4,2452,6266,2.736,0.285469509795503
-4.5,2.4,2452,6266,2.808,0.287428056859315
-4.5,2.4,2452,6266,2.88,0.29024665037146
-4.5,2.4,2452,6266,2.952,0.27203234063623
-4.5,2.4,2452,6266,3.024,0.253053617216858
-4.5,2.4,2452,6266,3.096,0.249701287644265
-4.5,2.4,2452,6266,3.168,0.265210556064164
-4.5,2.4,2452,6266,3.24,0.281545380582329
-4.5,2.4,2452,6266,3.312,0.27810741941625
-4.5,2.4,2452,6266,3.384,0.270345672372755
-4.5,2.4,2452,6266,3.456,0.268222184699786
-4.5,2.4,2452,6266,3.528,0.268602891275621
-4.5,2.4,2452,6266,3.6,0.261677601264182
-4.41,2.4,2452,6266,-3.6,0.447179757155208
-4.41,2.4,2452,6266,-3.528,0.426315849411527
-4.41,2.4,2452,6266,-3.456,0.362505425784185
-4.41,2.4,2452,6266,-3.384,0.324247246630662
-4.41,2.4,2452,6266,-3.312,0.259781200528433
-4.41,2.4,2452,6266,-3.24,0.271982221132245
-4.41,2.4,2452,6266,-3.168,0.344678793207822
-4.41,2.4,2452,6266,-3.096,0.314370540252157
-4.41,2.4,2452,6266,-3.024,0.497509253663977
-4.41,2.4,2452,6266,-2.952,0.506644931377343
-4.41,2.4,2452,6266,-2.88,0.196323342590563
-4.41,2.4,2452,6266,-2.808,0.106850204770533
-4.41,2.4,2452,6266,-2.736,0.106244710549864
-4.41,2.4,2452,6266,-2.664,0.15620618317167
-4.41,2.4,2452,6266,-2.592,0.283700677713296
-4.41,2.4,2452,6266,-2.52,0.184081158625609
-4.41,2.4,2452,6266,-2.448,0.205220500398148
-4.41,2.4,2452,6266,-2.376,0.159547842420829
-4.41,2.4,2452,6266,-2.304,0.317431407594537
-4.41,2.4,2452,6266,-2.232,0.322508762569868
-4.41,2.4,2452,6266,-2.16,0.454795120048625
-4.41,2.4,2452,6266,-2.088,0.320439625746238
-4.41,2.4,2452,6266,-2.016,0.571791825042021
-4.41,2.4,2452,6266,-1.944,0.4996529016658
-4.41,2.4,2452,6266,-1.872,0.24552434860311
-4.41,2.4,2452,6266,-1.8,0.246674420193412
-4.41,2.4,2452,6266,-1.728,0.242447602474563
-4.41,2.4,2452,6266,-1.656,0.251206734290654
-4.41,2.4,2452,6266,-1.584,0.265036144067023
-4.41,2.4,2452,6266,-1.512,0.391927200943199
-4.41,2.4,2452,6266,-1.44,0.528309271517575
-4.41,2.4,2452,6266,-1.368,0.60885059062569
-4.41,2.4,2452,6266,-1.296,0.79970831406482
-4.41,2.4,2452,6266,-1.224,0.707483768395914
-4.41,2.4,2452,6266,-1.152,0.708071009796679
-4.41,2.4,2452,6266,-1.08,0.811197303344003
-4.41,2.4,2452,6266,-1.008,1
-4.41,2.4,2452,6266,-0.936,0.945213452832416
-4.41,2.4,2452,6266,-0.864,0.837203248923004
-4.41,2.4,2452,6266,-0.792,0.593506128811715
-4.41,2.4,2452,6266,-0.72,0.340996487157947
-4.41,2.4,2452,6266,-0.648,0.224462630850418
-4.41,2.4,2452,6266,-0.576,0.117995498923714
-4.41,2.4,2452,6266,-0.504,0.254744150549105
-4.41,2.4,2452,6266,-0.432,0.319727836934914
-4.41,2.4,2452,6266,-0.36,0.232416629606791
-4.41,2.4,2452,6266,-0.288,0.239396362484652
-4.41,2.4,2452,6266,-0.216,0.270986773171106
-4.41,2.4,2452,6266,-0.144,0.129048871055655
-4.41,2.4,2452,6266,-0.0719999999999996,0.128961652304397
-4.41,2.4,2452,6266,0,0.060622717700218
-4.41,2.4,2452,6266,0.0720000000000005,0.251744604654999
-4.41,2.4,2452,6266,0.144000000000001,0.247953283630009
-4.41,2.4,2452,6266,0.216,0.338340003710134
-4.41,2.4,2452,6266,0.288,0.363649770100736
-4.41,2.4,2452,6266,0.36,0.273855929820293
-4.41,2.4,2452,6266,0.432,0.33680007367896
-4.41,2.4,2452,6266,0.504,0.236107345959585
-4.41,2.4,2452,6266,0.576,0.0818986183620606
-4.41,2.4,2452,6266,0.648,0.151998081278315
-4.41,2.4,2452,6266,0.72,0.102077734025112
-4.41,2.4,2452,6266,0.792,0.0952074623452543
-4.41,2.4,2452,6266,0.864,0.261115445609172
-4.41,2.4,2452,6266,0.936,0.278300838016305
-4.41,2.4,2452,6266,1.008,0.343867363419665
-4.41,2.4,2452,6266,1.08,0.277783146906631
-4.41,2.4,2452,6266,1.152,0.295677467955244
-4.41,2.4,2452,6266,1.224,0.296875617308296
-4.41,2.4,2452,6266,1.296,0.308155002659667
-4.41,2.4,2452,6266,1.368,0.26969458586577
-4.41,2.4,2452,6266,1.44,0.201251898411158
-4.41,2.4,2452,6266,1.512,0.10167844476705
-4.41,2.4,2452,6266,1.584,0.140637087745549
-4.41,2.4,2452,6266,1.656,0.213083678241517
-4.41,2.4,2452,6266,1.728,0.216969752187383
-4.41,2.4,2452,6266,1.8,0.206158484738435
-4.41,2.4,2452,6266,1.872,0.234123672736529
-4.41,2.4,2452,6266,1.944,0.258146527515861
-4.41,2.4,2452,6266,2.016,0.298907833776687
-4.41,2.4,2452,6266,2.088,0.382371667797223
-4.41,2.4,2452,6266,2.16,0.415747509680404
-4.41,2.4,2452,6266,2.232,0.36495181543555
-4.41,2.4,2452,6266,2.304,0.293930499386436
-4.41,2.4,2452,6266,2.376,0.2784141355864
-4.41,2.4,2452,6266,2.448,0.278142394959569
-4.41,2.4,2452,6266,2.52,0.270163404397563
-4.41,2.4,2452,6266,2.592,0.288369276582592
-4.41,2.4,2452,6266,2.664,0.311747033808875
-4.41,2.4,2452,6266,2.736,0.311926410143964
-4.41,2.4,2452,6266,2.808,0.283518938333309
-4.41,2.4,2452,6266,2.88,0.262918101791796
-4.41,2.4,2452,6266,2.952,0.272511415052767
-4.41,2.4,2452,6266,3.024,0.281883877304797
-4.41,2.4,2452,6266,3.096,0.273058069145143
-4.41,2.4,2452,6266,3.168,0.281686288614986
-4.41,2.4,2452,6266,3.24,0.310498186058834
-4.41,2.4,2452,6266,3.312,0.316415574777896
-4.41,2.4,2452,6266,3.384,0.298307120673119
-4.41,2.4,2452,6266,3.456,0.271979359280171
-4.41,2.4,2452,6266,3.528,0.257823010563285
-4.41,2.4,2452,6266,3.6,0.263593762978929
-4.32,2.4,2452,6266,-3.6,0.279992123628511
-4.32,2.4,2452,6266,-3.528,0.268809991540463
-4.32,2.4,2452,6266,-3.456,0.300379279983868
-4.32,2.4,2452,6266,-3.384,0.248642522643651
-4.32,2.4,2452,6266,-3.312,0.163439368740422
-4.32,2.4,2452,6266,-3.24,0.249135844493809
-4.32,2.4,2452,6266,-3.168,0.232231434851069
-4.32,2.4,2452,6266,-3.096,0.160988575601002
-4.32,2.4,2452,6266,-3.024,0.356616681084635
-4.32,2.4,2452,6266,-2.952,0.406078282478032
-4.32,2.4,2452,6266,-2.88,0.383725503300373
-4.32,2.4,2452,6266,-2.808,0.32477776227521
-4.32,2.4,2452,6266,-2.736,0.176342201094095
-4.32,2.4,2452,6266,-2.664,0.216701473998986
-4.32,2.4,2452,6266,-2.592,0.131151234857505
-4.32,2.4,2452,6266,-2.52,0.158934871758318
-4.32,2.4,2452,6266,-2.448,0.118421200386937
-4.32,2.4,2452,6266,-2.376,0.147721311472564
-4.32,2.4,2452,6266,-2.304,0.185411812982219
-4.32,2.4,2452,6266,-2.232,0.220917719299548
-4.32,2.4,2452,6266,-2.16,0.262803550732051
-4.32,2.4,2452,6266,-2.088,0.169771981138835
-4.32,2.4,2452,6266,-2.016,0.252423952638937
-4.32,2.4,2452,6266,-1.944,0.303931754722117
-4.32,2.4,2452,6266,-1.872,0.256410394353889
-4.32,2.4,2452,6266,-1.8,0.230583111235711
-4.32,2.4,2452,6266,-1.728,0.476347740607473
-4.32,2.4,2452,6266,-1.656,0.48556987274371
-4.32,2.4,2452,6266,-1.584,0.496344919911409
-4.32,2.4,2452,6266,-1.512,0.610167987732389
-4.32,2.4,2452,6266,-1.44,0.737117822342313
-4.32,2.4,2452,6266,-1.368,0.772459932104793
-4.32,2.4,2452,6266,-1.296,0.794389528161957
-4.32,2.4,2452,6266,-1.224,0.684432322765403
-4.32,2.4,2452,6266,-1.152,0.691671432154765
-4.32,2.4,2452,6266,-1.08,0.714925368881517
-4.32,2.4,2452,6266,-1.008,0.849765863712785
-4.32,2.4,2452,6266,-0.936,1
-4.32,2.4,2452,6266,-0.864,0.938680518581078
-4.32,2.4,2452,6266,-0.792,0.756461051196094
-4.32,2.4,2452,6266,-0.72,0.403292507735684
-4.32,2.4,2452,6266,-0.648,0.202790195208217
-4.32,2.4,2452,6266,-0.576,0.0948078378031293
-4.32,2.4,2452,6266,-0.504,0.205875191509142
-4.32,2.4,2452,6266,-0.432,0.162482301050271
-4.32,2.4,2452,6266,-0.36,0.131459605197921
-4.32,2.4,2452,6266,-0.288,0.169154612385512
-4.32,2.4,2452,6266,-0.216,0.160566233451147
-4.32,2.4,2452,6266,-0.144,0.0976320222543847
-4.32,2.4,2452,6266,-0.0719999999999996,0.0885078430465189
-4.32,2.4,2452,6266,0,0.059357947811933
-4.32,2.4,2452,6266,0.0720000000000005,0.172316154223588
-4.32,2.4,2452,6266,0.144000000000001,0.233963142859311
-4.32,2.4,2452,6266,0.216,0.205006969340554
-4.32,2.4,2452,6266,0.288,0.301063474809761
-4.32,2.4,2452,6266,0.36,0.14045761275817
-4.32,2.4,2452,6266,0.432,0.150877478590404
-4.32,2.4,2452,6266,0.504,0.224732700906513
-4.32,2.4,2452,6266,0.576,0.11482091806028
-4.32,2.4,2452,6266,0.648,0.0507154085672502
-4.32,2.4,2452,6266,0.72,0.116616404850334
-4.32,2.4,2452,6266,0.792,0.178695971281099
-4.32,2.4,2452,6266,0.864,0.186228289253219
-4.32,2.4,2452,6266,0.936,0.192256320655304
-4.32,2.4,2452,6266,1.008,0.223124305123043
-4.32,2.4,2452,6266,1.08,0.230877850458756
-4.32,2.4,2452,6266,1.152,0.184454138388079
-4.32,2.4,2452,6266,1.224,0.198366026742503
-4.32,2.4,2452,6266,1.296,0.22510981927781
-4.32,2.4,2452,6266,1.368,0.120604129361815
-4.32,2.4,2452,6266,1.44,0.116205023657488
-4.32,2.4,2452,6266,1.512,0.122340111224178
-4.32,2.4,2452,6266,1.584,0.105353133533986
-4.32,2.4,2452,6266,1.656,0.14304252285904
-4.32,2.4,2452,6266,1.728,0.171236901576589
-4.32,2.4,2452,6266,1.8,0.14865801998112
-4.32,2.4,2452,6266,1.872,0.156551443207565
-4.32,2.4,2452,6266,1.944,0.219398379414085
-4.32,2.4,2452,6266,2.016,0.256289075420523
-4.32,2.4,2452,6266,2.088,0.252502140152874
-4.32,2.4,2452,6266,2.16,0.240436333184239
-4.32,2.4,2452,6266,2.232,0.221280894430526
-4.32,2.4,2452,6266,2.304,0.186074083255521
-4.32,2.4,2452,6266,2.376,0.173167952077157
-4.32,2.4,2452,6266,2.448,0.200594280367342
-4.32,2.4,2452,6266,2.52,0.216931809487573
-4.32,2.4,2452,6266,2.592,0.20630160049745
-4.32,2.4,2452,6266,2.664,0.190864355003658
-4.32,2.4,2452,6266,2.736,0.203227668922874
-4.32,2.4,2452,6266,2.808,0.205996222287909
-4.32,2.4,2452,6266,2.88,0.186715788467302
-4.32,2.4,2452,6266,2.952,0.175143403106285
-4.32,2.4,2452,6266,3.024,0.197616302251587
-4.32,2.4,2452,6266,3.096,0.226352699390634
-4.32,2.4,2452,6266,3.168,0.236593115598889
-4.32,2.4,2452,6266,3.24,0.221132041264833
-4.32,2.4,2452,6266,3.312,0.197200040026215
-4.32,2.4,2452,6266,3.384,0.192414914996975
-4.32,2.4,2452,6266,3.456,0.195443594253048
-4.32,2.4,2452,6266,3.528,0.193201778251008
-4.32,2.4,2452,6266,3.6,0.184888015165411
-4.23,2.4,2452,6266,-3.6,0.385109773410228
-4.23,2.4,2452,6266,-3.528,0.493259606672863
-4.23,2.4,2452,6266,-3.456,0.588378801655673
-4.23,2.4,2452,6266,-3.384,0.38498754106878
-4.23,2.4,2452,6266,-3.312,0.333246871635536
-4.23,2.4,2452,6266,-3.24,0.513938994135748
-4.23,2.4,2452,6266,-3.168,0.435080340283991
-4.23,2.4,2452,6266,-3.096,0.303128283831726
-4.23,2.4,2452,6266,-3.024,0.305389132259328
-4.23,2.4,2452,6266,-2.952,0.538265793304131
-4.23,2.4,2452,6266,-2.88,0.680471716327482
-4.23,2.4,2452,6266,-2.808,0.374636644455654
-4.23,2.4,2452,6266,-2.736,0.322681895629271
-4.23,2.4,2452,6266,-2.664,0.324039432841948
-4.23,2.4,2452,6266,-2.592,0.161056652740834
-4.23,2.4,2452,6266,-2.52,0.40543232891448
-4.23,2.4,2452,6266,-2.448,0.120788198274867
-4.23,2.4,2452,6266,-2.376,0.282503826268385
-4.23,2.4,2452,6266,-2.304,0.265494228004438
-4.23,2.4,2452,6266,-2.232,0.388947077739941
-4.23,2.4,2452,6266,-2.16,0.462022755654804
-4.23,2.4,2452,6266,-2.088,0.49530930391283
-4.23,2.4,2452,6266,-2.016,0.487962258032177
-4.23,2.4,2452,6266,-1.944,0.525110709349854
-4.23,2.4,2452,6266,-1.872,0.484054038725066
-4.23,2.4,2452,6266,-1.8,0.432225800604157
-4.23,2.4,2452,6266,-1.728,0.663526181525633
-4.23,2.4,2452,6266,-1.656,0.683589970047748
-4.23,2.4,2452,6266,-1.584,0.499652924862586
-4.23,2.4,2452,6266,-1.512,0.71186887314268
-4.23,2.4,2452,6266,-1.44,0.778801469536263
-4.23,2.4,2452,6266,-1.368,0.925903228625295
-4.23,2.4,2452,6266,-1.296,0.886908744944793
-4.23,2.4,2452,6266,-1.224,0.783392773180311
-4.23,2.4,2452,6266,-1.152,0.840345557341778
-4.23,2.4,2452,6266,-1.08,0.743101310499157
-4.23,2.4,2452,6266,-1.008,0.71994647916778
-4.23,2.4,2452,6266,-0.936,1
-4.23,2.4,2452,6266,-0.864,0.889841331099711
-4.23,2.4,2452,6266,-0.792,0.724399065410348
-4.23,2.4,2452,6266,-0.72,0.428813242065007
-4.23,2.4,2452,6266,-0.648,0.224405292967015
-4.23,2.4,2452,6266,-0.576,0.184772188420167
-4.23,2.4,2452,6266,-0.504,0.366040237912415
-4.23,2.4,2452,6266,-0.432,0.168094665057739
-4.23,2.4,2452,6266,-0.36,0.241797688344163
-4.23,2.4,2452,6266,-0.288,0.30748470612574
