"_v [meter]","Freq [GHz]","x_coord [mm]","y_coord [mm]","_u []","NearETotal/max(NearETotal) []"
-4.5,2.4,2371,4292,-3.6,0.402313148010159
-4.5,2.4,2371,4292,-3.528,0.419179565585624
-4.5,2.4,2371,4292,-3.456,0.582634878294085
-4.5,2.4,2371,4292,-3.384,0.671919130141545
-4.5,2.4,2371,4292,-3.312,0.674298708965313
-4.5,2.4,2371,4292,-3.24,0.450684149124626
-4.5,2.4,2371,4292,-3.168,0.810721145643201
-4.5,2.4,2371,4292,-3.096,0.979462359503419
-4.5,2.4,2371,4292,-3.024,1
-4.5,2.4,2371,4292,-2.952,0.749414467507009
-4.5,2.4,2371,4292,-2.88,0.61252453271445
-4.5,2.4,2371,4292,-2.808,0.604274839403953
-4.5,2.4,2371,4292,-2.736,0.445639777961958
-4.5,2.4,2371,4292,-2.664,0.711618834304155
-4.5,2.4,2371,4292,-2.592,0.737930599615363
-4.5,2.4,2371,4292,-2.52,0.541458684042288
-4.5,2.4,2371,4292,-2.448,0.550758962192738
-4.5,2.4,2371,4292,-2.376,0.233764688516576
-4.5,2.4,2371,4292,-2.304,0.380128657987192
-4.5,2.4,2371,4292,-2.232,0.559124598446473
-4.5,2.4,2371,4292,-2.16,0.6476141163425
-4.5,2.4,2371,4292,-2.088,0.606924538920276
-4.5,2.4,2371,4292,-2.016,0.255207258752973
-4.5,2.4,2371,4292,-1.944,0.288314331162166
-4.5,2.4,2371,4292,-1.872,0.335928419810008
-4.5,2.4,2371,4292,-1.8,0.392149903467802
-4.5,2.4,2371,4292,-1.728,0.355778891953148
-4.5,2.4,2371,4292,-1.656,0.672127037967095
-4.5,2.4,2371,4292,-1.584,0.440100437913864
-4.5,2.4,2371,4292,-1.512,0.0754957733262205
-4.5,2.4,2371,4292,-1.44,0.346260935315036
-4.5,2.4,2371,4292,-1.368,0.548430007239599
-4.5,2.4,2371,4292,-1.296,0.433258316554673
-4.5,2.4,2371,4292,-1.224,0.310899317222237
-4.5,2.4,2371,4292,-1.152,0.174424734714922
-4.5,2.4,2371,4292,-1.08,0.457666470748067
-4.5,2.4,2371,4292,-1.008,0.31818429878372
-4.5,2.4,2371,4292,-0.936,0.652055352899929
-4.5,2.4,2371,4292,-0.864,0.494913487645623
-4.5,2.4,2371,4292,-0.792,0.452260215392318
-4.5,2.4,2371,4292,-0.72,0.116003211750302
-4.5,2.4,2371,4292,-0.648,0.107962745444086
-4.5,2.4,2371,4292,-0.576,0.235644831827774
