"_v [meter]","Freq [GHz]","x_coord [mm]","y_coord [mm]","_u []","NearETotal/max(NearETotal) []"
-4.5,2.4,5674,992,-3.6,0.103978069758171
-4.5,2.4,5674,992,-3.528,0.110627174987301
-4.5,2.4,5674,992,-3.456,0.119966656338648
-4.5,2.4,5674,992,-3.384,0.123234378307944
-4.5,2.4,5674,992,-3.312,0.114098404603771
-4.5,2.4,5674,992,-3.24,0.0969823814228079
-4.5,2.4,5674,992,-3.168,0.0962899849442308
-4.5,2.4,5674,992,-3.096,0.118883275773678
-4.5,2.4,5674,992,-3.024,0.133143520901533
-4.5,2.4,5674,992,-2.952,0.125688618867238
-4.5,2.4,5674,992,-2.88,0.108317286294225
-4.5,2.4,5674,992,-2.808,0.109980061181948
-4.5,2.4,5674,992,-2.736,0.12225140505366
-4.5,2.4,5674,992,-2.664,0.125088546334792
-4.5,2.4,5674,992,-2.592,0.11786851347513
-4.5,2.4,5674,992,-2.52,0.126146844792036
-4.5,2.4,5674,992,-2.448,0.150348355449472
-4.5,2.4,5674,992,-2.376,0.161842607603087
-4.5,2.4,5674,992,-2.304,0.156398901250221
-4.5,2.4,5674,992,-2.232,0.148776888208795
-4.5,2.4,5674,992,-2.16,0.151425947765354
-4.5,2.4,5674,992,-2.088,0.159934216627009
-4.5,2.4,5674,992,-2.016,0.160787542468223
-4.5,2.4,5674,992,-1.944,0.148350993250554
-4.5,2.4,5674,992,-1.872,0.154668640729352
-4.5,2.4,5674,992,-1.8,0.169616979176672
-4.5,2.4,5674,992,-1.728,0.168638511526342
-4.5,2.4,5674,992,-1.656,0.165912950111156
-4.5,2.4,5674,992,-1.584,0.182731077744702
-4.5,2.4,5674,992,-1.512,0.188098131404254
-4.5,2.4,5674,992,-1.44,0.170787042307417
-4.5,2.4,5674,992,-1.368,0.181448011041991
-4.5,2.4,5674,992,-1.296,0.205373774291909
-4.5,2.4,5674,992,-1.224,0.221415055349366
-4.5,2.4,5674,992,-1.152,0.215724096189477
-4.5,2.4,5674,992,-1.08,0.222107158093101
-4.5,2.4,5674,992,-1.008,0.229880788078918
-4.5,2.4,5674,992,-0.936,0.236673411830799
-4.5,2.4,5674,992,-0.864,0.236808801137924
-4.5,2.4,5674,992,-0.792,0.256019760347122
-4.5,2.4,5674,992,-0.72,0.250786363664868
-4.5,2.4,5674,992,-0.648,0.232704661564606
-4.5,2.4,5674,992,-0.576,0.219822019071861
-4.5,2.4,5674,992,-0.504,0.236472261315208
-4.5,2.4,5674,992,-0.432,0.240926894246671
-4.5,2.4,5674,992,-0.36,0.25279368015472
-4.5,2.4,5674,992,-0.288,0.24911554202856
-4.5,2.4,5674,992,-0.216,0.261048470821434
-4.5,2.4,5674,992,-0.144,0.217289881698426
-4.5,2.4,5674,992,-0.0719999999999996,0.185245888570843
-4.5,2.4,5674,992,0,0.211614628556685
-4.5,2.4,5674,992,0.0720000000000005,0.227972708829117
-4.5,2.4,5674,992,0.144000000000001,0.216029659853907
-4.5,2.4,5674,992,0.216,0.19235878654356
-4.5,2.4,5674,992,0.288,0.160672437761165
-4.5,2.4,5674,992,0.36,0.130595122258771
-4.5,2.4,5674,992,0.432,0.159057473133726
-4.5,2.4,5674,992,0.504,0.154227367541565
-4.5,2.4,5674,992,0.576,0.200857337208631
-4.5,2.4,5674,992,0.648,0.237899979643284
-4.5,2.4,5674,992,0.72,0.19615450442108
-4.5,2.4,5674,992,0.792,0.199188233365491
-4.5,2.4,5674,992,0.864,0.130178637073263
-4.5,2.4,5674,992,0.936,0.146846445597934
-4.5,2.4,5674,992,1.008,0.127654260790513
-4.5,2.4,5674,992,1.08,0.648320979800595
-4.5,2.4,5674,992,1.152,0.719893481044906
-4.5,2.4,5674,992,1.224,0.569926788931548
-4.5,2.4,5674,992,1.296,0.987125691343689
-4.5,2.4,5674,992,1.368,0.617008360328576
-4.5,2.4,5674,992,1.44,0.710728558999443
-4.5,2.4,5674,992,1.512,0.556566851771931
-4.5,2.4,5674,992,1.584,0.415140662421205
-4.5,2.4,5674,992,1.656,0.760910853506552
-4.5,2.4,5674,992,1.728,0.488422481411064
-4.5,2.4,5674,992,1.8,0.447269524651387
-4.5,2.4,5674,992,1.872,0.578890708190198
-4.5,2.4,5674,992,1.944,0.272043243255374
-4.5,2.4,5674,992,2.016,0.456276365707158
-4.5,2.4,5674,992,2.088,0.540609406331786
-4.5,2.4,5674,992,2.16,0.288385001699056
-4.5,2.4,5674,992,2.232,0.557163860580039
-4.5,2.4,5674,992,2.304,0.602863602691953
-4.5,2.4,5674,992,2.376,0.371891219397494
-4.5,2.4,5674,992,2.448,0.486641713305119
-4.5,2.4,5674,992,2.52,0.583957628907488
-4.5,2.4,5674,992,2.592,0.663644946957263
-4.5,2.4,5674,992,2.664,0.558049780005059
-4.5,2.4,5674,992,2.736,0.764228451293674
-4.5,2.4,5674,992,2.808,0.880365969271515
-4.5,2.4,5674,992,2.88,0.761490294008472
-4.5,2.4,5674,992,2.952,0.841592209573046
-4.5,2.4,5674,992,3.024,0.955300736835671
-4.5,2.4,5674,992,3.096,0.933687282355091
-4.5,2.4,5674,992,3.168,0.832727029369109
-4.5,2.4,5674,992,3.24,0.885381474754147
-4.5,2.4,5674,992,3.312,1
-4.5,2.4,5674,992,3.384,0.819926581826511
-4.5,2.4,5674,992,3.456,0.769411810584433
-4.5,2.4,5674,992,3.528,0.828803718884387
-4.5,2.4,5674,992,3.6,0.769193561565238
-4.41,2.4,5674,992,-3.6,0.116246289857575
-4.41,2.4,5674,992,-3.528,0.112892985437808
-4.41,2.4,5674,992,-3.456,0.109783290049073
-4.41,2.4,5674,992,-3.384,0.114982517858876
-4.41,2.4,5674,992,-3.312,0.12849002828696
-4.41,2.4,5674,992,-3.24,0.136831405052125
-4.41,2.4,5674,992,-3.168,0.128811787704371
-4.41,2.4,5674,992,-3.096,0.107307559255126
-4.41,2.4,5674,992,-3.024,0.101775416918595
-4.41,2.4,5674,992,-2.952,0.12503481173226
-4.41,2.4,5674,992,-2.88,0.142407301969328
-4.41,2.4,5674,992,-2.808,0.135522915733187
-4.41,2.4,5674,992,-2.736,0.121790657067781
-4.41,2.4,5674,992,-2.664,0.124252536863859
-4.41,2.4,5674,992,-2.592,0.135653360012714
-4.41,2.4,5674,992,-2.52,0.134008665882212
-4.41,2.4,5674,992,-2.448,0.120780434448173
-4.41,2.4,5674,992,-2.376,0.129973093850328
-4.41,2.4,5674,992,-2.304,0.153454365001398
-4.41,2.4,5674,992,-2.232,0.166015884756323
-4.41,2.4,5674,992,-2.16,0.162169867011273
-4.41,2.4,5674,992,-2.088,0.155714402813805
-4.41,2.4,5674,992,-2.016,0.159406795988369
-4.41,2.4,5674,992,-1.944,0.170879411777645
-4.41,2.4,5674,992,-1.872,0.161763307820306
-4.41,2.4,5674,992,-1.8,0.150152038041568
-4.41,2.4,5674,992,-1.728,0.159811030958158
-4.41,2.4,5674,992,-1.656,0.169627653549129
-4.41,2.4,5674,992,-1.584,0.163274731704175
-4.41,2.4,5674,992,-1.512,0.169545295317719
-4.41,2.4,5674,992,-1.44,0.192456410656418
-4.41,2.4,5674,992,-1.368,0.185482973613192
-4.41,2.4,5674,992,-1.296,0.177397290262245
-4.41,2.4,5674,992,-1.224,0.189254728698147
-4.41,2.4,5674,992,-1.152,0.215954688065733
-4.41,2.4,5674,992,-1.08,0.218546497900187
-4.41,2.4,5674,992,-1.008,0.218449424466867
-4.41,2.4,5674,992,-0.936,0.219185889029708
-4.41,2.4,5674,992,-0.864,0.222303806536091
-4.41,2.4,5674,992,-0.792,0.211760968088882
-4.41,2.4,5674,992,-0.72,0.225848394806623
-4.41,2.4,5674,992,-0.648,0.247628860508334
-4.41,2.4,5674,992,-0.576,0.249081726187194
-4.41,2.4,5674,992,-0.504,0.236302119536748
-4.41,2.4,5674,992,-0.432,0.245424782025244
-4.41,2.4,5674,992,-0.36,0.246710021229578
-4.41,2.4,5674,992,-0.288,0.261886738202291
-4.41,2.4,5674,992,-0.216,0.263806274049525
-4.41,2.4,5674,992,-0.144,0.30901890841593
-4.41,2.4,5674,992,-0.0719999999999996,0.318915504841128
-4.41,2.4,5674,992,0,0.28894091301879
-4.41,2.4,5674,992,0.0720000000000005,0.278898006221703
-4.41,2.4,5674,992,0.144000000000001,0.277382181444928
-4.41,2.4,5674,992,0.216,0.26995111616477
-4.41,2.4,5674,992,0.288,0.257618104566528
-4.41,2.4,5674,992,0.36,0.228591545758243
-4.41,2.4,5674,992,0.432,0.18931650754956
-4.41,2.4,5674,992,0.504,0.194241049559509
-4.41,2.4,5674,992,0.576,0.179424596927525
-4.41,2.4,5674,992,0.648,0.179283693731324
-4.41,2.4,5674,992,0.72,0.162702246590522
-4.41,2.4,5674,992,0.792,0.095245292270863
-4.41,2.4,5674,992,0.864,0.0958772779586232
-4.41,2.4,5674,992,0.936,0.0695724285516732
-4.41,2.4,5674,992,1.008,0.120609769901303
-4.41,2.4,5674,992,1.08,0.508157313059202
-4.41,2.4,5674,992,1.152,0.794169858500347
-4.41,2.4,5674,992,1.224,0.516040580392807
-4.41,2.4,5674,992,1.296,0.565868031142404
-4.41,2.4,5674,992,1.368,0.502349332337205
-4.41,2.4,5674,992,1.44,0.575848255466773
-4.41,2.4,5674,992,1.512,0.57181968170545
-4.41,2.4,5674,992,1.584,0.479008926629394
-4.41,2.4,5674,992,1.656,0.533713557948058
-4.41,2.4,5674,992,1.728,0.38902139984309
-4.41,2.4,5674,992,1.8,0.762670596676299
-4.41,2.4,5674,992,1.872,0.569361427445269
-4.41,2.4,5674,992,1.944,0.51357963196691
-4.41,2.4,5674,992,2.016,0.488856917832578
-4.41,2.4,5674,992,2.088,0.394904503824502
-4.41,2.4,5674,992,2.16,0.354846004454445
-4.41,2.4,5674,992,2.232,0.619088415325159
-4.41,2.4,5674,992,2.304,0.569218307647205
-4.41,2.4,5674,992,2.376,0.31701717241454
-4.41,2.4,5674,992,2.448,0.529158652735335
-4.41,2.4,5674,992,2.52,0.455076051344542
-4.41,2.4,5674,992,2.592,0.401640953341938
-4.41,2.4,5674,992,2.664,0.421905641777393
-4.41,2.4,5674,992,2.736,0.422672468159481
-4.41,2.4,5674,992,2.808,0.709958068607013
-4.41,2.4,5674,992,2.88,0.675572175562372
-4.41,2.4,5674,992,2.952,0.483456228090304
-4.41,2.4,5674,992,3.024,0.746111159256957
-4.41,2.4,5674,992,3.096,0.861868729406192
-4.41,2.4,5674,992,3.168,0.64837077060141
-4.41,2.4,5674,992,3.24,0.752523468002463
-4.41,2.4,5674,992,3.312,0.903805055238191
-4.41,2.4,5674,992,3.384,0.912379445191153
-4.41,2.4,5674,992,3.456,0.733415971216562
-4.41,2.4,5674,992,3.528,0.790774983522939
-4.41,2.4,5674,992,3.6,1
-4.32,2.4,5674,992,-3.6,0.113568726403396
-4.32,2.4,5674,992,-3.528,0.114017461955935
-4.32,2.4,5674,992,-3.456,0.114671897539889
-4.32,2.4,5674,992,-3.384,0.110566780522598
-4.32,2.4,5674,992,-3.312,0.102458272553063
-4.32,2.4,5674,992,-3.24,0.104711094344607
-4.32,2.4,5674,992,-3.168,0.11883195022111
-4.32,2.4,5674,992,-3.096,0.132468370419023
-4.32,2.4,5674,992,-3.024,0.129409634525297
-4.32,2.4,5674,992,-2.952,0.106502574751861
-4.32,2.4,5674,992,-2.88,0.0974157557448751
-4.32,2.4,5674,992,-2.808,0.117019935401005
-4.32,2.4,5674,992,-2.736,0.133518308040716
-4.32,2.4,5674,992,-2.664,0.129828546155487
-4.32,2.4,5674,992,-2.592,0.121156203986521
-4.32,2.4,5674,992,-2.52,0.126224530815475
-4.32,2.4,5674,992,-2.448,0.139277965432874
-4.32,2.4,5674,992,-2.376,0.13266306888389
-4.32,2.4,5674,992,-2.304,0.119025367116593
-4.32,2.4,5674,992,-2.232,0.122553271810337
-4.32,2.4,5674,992,-2.16,0.141511886595397
-4.32,2.4,5674,992,-2.088,0.152581946657982
-4.32,2.4,5674,992,-2.016,0.150978109044845
-4.32,2.4,5674,992,-1.944,0.143403953998038
-4.32,2.4,5674,992,-1.872,0.15307410919795
-4.32,2.4,5674,992,-1.8,0.158168444523362
-4.32,2.4,5674,992,-1.728,0.1441858442524
-4.32,2.4,5674,992,-1.656,0.134500972039239
-4.32,2.4,5674,992,-1.584,0.142501299883233
-4.32,2.4,5674,992,-1.512,0.143523006735339
-4.32,2.4,5674,992,-1.44,0.13275865250485
-4.32,2.4,5674,992,-1.368,0.151361370002223
-4.32,2.4,5674,992,-1.296,0.162306498938234
-4.32,2.4,5674,992,-1.224,0.155578833312512
-4.32,2.4,5674,992,-1.152,0.146207361101516
-4.32,2.4,5674,992,-1.08,0.16405282860195
-4.32,2.4,5674,992,-1.008,0.172884601106276
-4.32,2.4,5674,992,-0.936,0.172770668845157
-4.32,2.4,5674,992,-0.864,0.16634080467578
-4.32,2.4,5674,992,-0.792,0.165968335263665
-4.32,2.4,5674,992,-0.72,0.148880683287819
-4.32,2.4,5674,992,-0.648,0.146245446722823
-4.32,2.4,5674,992,-0.576,0.168524080754954
-4.32,2.4,5674,992,-0.504,0.194835100416893
-4.32,2.4,5674,992,-0.432,0.190864871369237
-4.32,2.4,5674,992,-0.36,0.197701336008899
-4.32,2.4,5674,992,-0.288,0.19159558656858
-4.32,2.4,5674,992,-0.216,0.198230280078243
-4.32,2.4,5674,992,-0.144,0.188058516810108
-4.32,2.4,5674,992,-0.0719999999999996,0.214296943925601
