"_v [meter]","Freq [GHz]","x_coord [mm]","y_coord [mm]","_u []","NearETotal/max(NearETotal) []"
-4.5,2.4,6307,4607,-3.6,0.388331325573073
-4.5,2.4,6307,4607,-3.528,0.340677260306163
-4.5,2.4,6307,4607,-3.456,0.363136787086022
-4.5,2.4,6307,4607,-3.384,0.332419172748155
-4.5,2.4,6307,4607,-3.312,0.364789958480982
-4.5,2.4,6307,4607,-3.24,0.450462554033818
-4.5,2.4,6307,4607,-3.168,0.318830073395566
-4.5,2.4,6307,4607,-3.096,0.293953391918632
-4.5,2.4,6307,4607,-3.024,0.319901698150222
-4.5,2.4,6307,4607,-2.952,0.348686870069518
-4.5,2.4,6307,4607,-2.88,0.225680409947363
-4.5,2.4,6307,4607,-2.808,0.183495188246861
-4.5,2.4,6307,4607,-2.736,0.29808484897149
-4.5,2.4,6307,4607,-2.664,0.570987450737313
-4.5,2.4,6307,4607,-2.592,0.646939101224917
-4.5,2.4,6307,4607,-2.52,0.545207920723316
-4.5,2.4,6307,4607,-2.448,0.364700248928333
-4.5,2.4,6307,4607,-2.376,0.270692361755765
-4.5,2.4,6307,4607,-2.304,0.272575421925591
-4.5,2.4,6307,4607,-2.232,0.23873518341265
-4.5,2.4,6307,4607,-2.16,0.272521409650913
-4.5,2.4,6307,4607,-2.088,0.132564901719713
-4.5,2.4,6307,4607,-2.016,0.0795824239514892
-4.5,2.4,6307,4607,-1.944,0.184878614522254
-4.5,2.4,6307,4607,-1.872,0.328525779026897
-4.5,2.4,6307,4607,-1.8,0.359677400387722
-4.5,2.4,6307,4607,-1.728,0.439595159667584
-4.5,2.4,6307,4607,-1.656,0.422305218049533
-4.5,2.4,6307,4607,-1.584,0.451314123852201
-4.5,2.4,6307,4607,-1.512,0.367617338135615
-4.5,2.4,6307,4607,-1.44,0.1768394652294
-4.5,2.4,6307,4607,-1.368,0.183044382159772
-4.5,2.4,6307,4607,-1.296,0.245107467467071
-4.5,2.4,6307,4607,-1.224,0.234491428767732
-4.5,2.4,6307,4607,-1.152,0.478072325257262
-4.5,2.4,6307,4607,-1.08,0.506866642855324
-4.5,2.4,6307,4607,-1.008,0.515402268153424
-4.5,2.4,6307,4607,-0.936,0.507999960616202
-4.5,2.4,6307,4607,-0.864,0.684720586660392
-4.5,2.4,6307,4607,-0.792,0.598807226654487
-4.5,2.4,6307,4607,-0.72,0.456075115054186
-4.5,2.4,6307,4607,-0.648,0.404536156377513
-4.5,2.4,6307,4607,-0.576,0.324892371018407
-4.5,2.4,6307,4607,-0.504,0.224600349990739
-4.5,2.4,6307,4607,-0.432,0.627425166627088
-4.5,2.4,6307,4607,-0.36,0.53913604819528
-4.5,2.4,6307,4607,-0.288,0.66005587725692
-4.5,2.4,6307,4607,-0.216,0.682162217722573
-4.5,2.4,6307,4607,-0.144,0.702864352519478
-4.5,2.4,6307,4607,-0.0719999999999996,0.718708462563107
-4.5,2.4,6307,4607,0,0.545160919017689
-4.5,2.4,6307,4607,0.0720000000000005,0.330155666218192
-4.5,2.4,6307,4607,0.144000000000001,0.187225399427551
-4.5,2.4,6307,4607,0.216,0.151953895915938
-4.5,2.4,6307,4607,0.288,0.265121223873533
-4.5,2.4,6307,4607,0.36,0.203298868179254
-4.5,2.4,6307,4607,0.432,0.377945068795889
-4.5,2.4,6307,4607,0.504,0.180505878498122
-4.5,2.4,6307,4607,0.576,0.281761112790195
-4.5,2.4,6307,4607,0.648,0.248302018172194
-4.5,2.4,6307,4607,0.72,0.531583336792922
-4.5,2.4,6307,4607,0.792,0.302790041885258
-4.5,2.4,6307,4607,0.864,0.499696732813565
-4.5,2.4,6307,4607,0.936,0.410105372613563
-4.5,2.4,6307,4607,1.008,0.362230137272143
-4.5,2.4,6307,4607,1.08,0.323674324514763
-4.5,2.4,6307,4607,1.152,0.718114640793259
-4.5,2.4,6307,4607,1.224,0.906162359815711
-4.5,2.4,6307,4607,1.296,0.670556129094941
-4.5,2.4,6307,4607,1.368,0.512329171505234
-4.5,2.4,6307,4607,1.44,1
