"_v [meter]","Freq [GHz]","x_coord [mm]","y_coord [mm]","_u []","NearETotal/max(NearETotal) []"
-4.5,2.4,3545,8374,-3.6,0.44218665521785
-4.5,2.4,3545,8374,-3.528,0.331892717673356
-4.5,2.4,3545,8374,-3.456,0.289254665153069
-4.5,2.4,3545,8374,-3.384,0.556530955734403
-4.5,2.4,3545,8374,-3.312,0.648641691476544
-4.5,2.4,3545,8374,-3.24,0.477292092822938
-4.5,2.4,3545,8374,-3.168,0.339879775767048
-4.5,2.4,3545,8374,-3.096,0.445694422067404
-4.5,2.4,3545,8374,-3.024,0.480512976719524
-4.5,2.4,3545,8374,-2.952,0.472783604542206
-4.5,2.4,3545,8374,-2.88,0.5188050785775
-4.5,2.4,3545,8374,-2.808,0.459766346416632
-4.5,2.4,3545,8374,-2.736,0.0891152787849401
-4.5,2.4,3545,8374,-2.664,0.454931304282082
-4.5,2.4,3545,8374,-2.592,0.677256999350917
-4.5,2.4,3545,8374,-2.52,0.412516166648378
-4.5,2.4,3545,8374,-2.448,0.197510492823279
-4.5,2.4,3545,8374,-2.376,0.346520580552646
-4.5,2.4,3545,8374,-2.304,0.318340677060493
-4.5,2.4,3545,8374,-2.232,0.384207246457639
-4.5,2.4,3545,8374,-2.16,0.397140322665792
-4.5,2.4,3545,8374,-2.088,0.28458442655045
-4.5,2.4,3545,8374,-2.016,0.477037006105959
-4.5,2.4,3545,8374,-1.944,0.562596055050573
-4.5,2.4,3545,8374,-1.872,0.255323170873977
-4.5,2.4,3545,8374,-1.8,0.342458704421847
-4.5,2.4,3545,8374,-1.728,0.558084253212408
-4.5,2.4,3545,8374,-1.656,0.410101681953578
-4.5,2.4,3545,8374,-1.584,0.3061041335893
-4.5,2.4,3545,8374,-1.512,0.438793609869485
-4.5,2.4,3545,8374,-1.44,0.418858286264758
-4.5,2.4,3545,8374,-1.368,0.360945591890815
-4.5,2.4,3545,8374,-1.296,0.269810488219209
-4.5,2.4,3545,8374,-1.224,0.399549030578003
-4.5,2.4,3545,8374,-1.152,0.515493753305906
-4.5,2.4,3545,8374,-1.08,0.173160521540851
-4.5,2.4,3545,8374,-1.008,0.348526458609635
-4.5,2.4,3545,8374,-0.936,0.398859327145979
-4.5,2.4,3545,8374,-0.864,0.219545326421221
-4.5,2.4,3545,8374,-0.792,0.247054398632973
-4.5,2.4,3545,8374,-0.72,0.279625314925128
-4.5,2.4,3545,8374,-0.648,0.485227437551002
-4.5,2.4,3545,8374,-0.576,0.265125503049965
-4.5,2.4,3545,8374,-0.504,0.248130166492608
-4.5,2.4,3545,8374,-0.432,0.441156159145518
-4.5,2.4,3545,8374,-0.36,0.158294075007112
-4.5,2.4,3545,8374,-0.288,0.553244738785483
-4.5,2.4,3545,8374,-0.216,0.516411770652711
-4.5,2.4,3545,8374,-0.144,0.126240082173781
-4.5,2.4,3545,8374,-0.0719999999999996,0.44632476391082
-4.5,2.4,3545,8374,0,0.44760212541642
-4.5,2.4,3545,8374,0.0720000000000005,0.246065349366831
-4.5,2.4,3545,8374,0.144000000000001,0.252567215367922
-4.5,2.4,3545,8374,0.216,0.298481958909571
-4.5,2.4,3545,8374,0.288,0.232639921087531
-4.5,2.4,3545,8374,0.36,0.35678687260714
-4.5,2.4,3545,8374,0.432,0.44427802105138
-4.5,2.4,3545,8374,0.504,0.373529141014847
-4.5,2.4,3545,8374,0.576,0.368421058076976
-4.5,2.4,3545,8374,0.648,0.550297664394603
-4.5,2.4,3545,8374,0.72,0.449544390452509
-4.5,2.4,3545,8374,0.792,0.438875935762614
-4.5,2.4,3545,8374,0.864,0.509218121425779
-4.5,2.4,3545,8374,0.936,0.530368938276806
-4.5,2.4,3545,8374,1.008,0.556987580857873
-4.5,2.4,3545,8374,1.08,0.416991479273831
-4.5,2.4,3545,8374,1.152,0.311820242271644
