"_v [meter]","Freq [GHz]","x_coord [mm]","y_coord [mm]","_u []","NearETotal/max(NearETotal) []"
-4.5,2.4,4308,1755,-3.6,0.119490262673273
-4.5,2.4,4308,1755,-3.528,0.0824556420247953
-4.5,2.4,4308,1755,-3.456,0.0704577281264321
-4.5,2.4,4308,1755,-3.384,0.0984751472764968
-4.5,2.4,4308,1755,-3.312,0.113148057809558
-4.5,2.4,4308,1755,-3.24,0.094325924939702
-4.5,2.4,4308,1755,-3.168,0.0517812667885027
-4.5,2.4,4308,1755,-3.096,0.0551762131358627
-4.5,2.4,4308,1755,-3.024,0.0764258936640176
-4.5,2.4,4308,1755,-2.952,0.0601684962673239
-4.5,2.4,4308,1755,-2.88,0.0191961070010331
-4.5,2.4,4308,1755,-2.808,0.0774420162410582
-4.5,2.4,4308,1755,-2.736,0.0973571387467101
-4.5,2.4,4308,1755,-2.664,0.0490166084833039
-4.5,2.4,4308,1755,-2.592,0.0580786038371891
-4.5,2.4,4308,1755,-2.52,0.077284732447051
-4.5,2.4,4308,1755,-2.448,0.0431406802239532
-4.5,2.4,4308,1755,-2.376,0.0346890540644513
-4.5,2.4,4308,1755,-2.304,0.0385217602210814
-4.5,2.4,4308,1755,-2.232,0.0617527703863941
-4.5,2.4,4308,1755,-2.16,0.0735993070768732
-4.5,2.4,4308,1755,-2.088,0.0388028996709796
-4.5,2.4,4308,1755,-2.016,0.0963120406386138
-4.5,2.4,4308,1755,-1.944,0.144702214858116
-4.5,2.4,4308,1755,-1.872,0.0948604591705079
-4.5,2.4,4308,1755,-1.8,0.0885063735717444
-4.5,2.4,4308,1755,-1.728,0.146143320137097
-4.5,2.4,4308,1755,-1.656,0.143659404488481
-4.5,2.4,4308,1755,-1.584,0.172497520580117
-4.5,2.4,4308,1755,-1.512,0.18065618163788
-4.5,2.4,4308,1755,-1.44,0.189058783216179
-4.5,2.4,4308,1755,-1.368,0.22031262713342
-4.5,2.4,4308,1755,-1.296,0.186515383950915
-4.5,2.4,4308,1755,-1.224,0.177980140907086
-4.5,2.4,4308,1755,-1.152,0.171934472107097
-4.5,2.4,4308,1755,-1.08,0.128887333165807
-4.5,2.4,4308,1755,-1.008,0.0906675571736667
-4.5,2.4,4308,1755,-0.936,0.0718372911423289
-4.5,2.4,4308,1755,-0.864,0.107032050614127
-4.5,2.4,4308,1755,-0.792,0.121913937340582
-4.5,2.4,4308,1755,-0.72,0.120947798902419
-4.5,2.4,4308,1755,-0.648,0.103762174815182
-4.5,2.4,4308,1755,-0.576,0.140894404935988
-4.5,2.4,4308,1755,-0.504,0.597358875344869
-4.5,2.4,4308,1755,-0.432,0.480051799387069
-4.5,2.4,4308,1755,-0.36,0.32692891305385
-4.5,2.4,4308,1755,-0.288,0.766728402862787
-4.5,2.4,4308,1755,-0.216,0.714737738569011
