"_v [meter]","Freq [GHz]","x_coord [mm]","y_coord [mm]","_u []","NearETotal/max(NearETotal) []"
-4.5,2.4,6705,6476,-3.6,0.292296254313258
-4.5,2.4,6705,6476,-3.528,0.181151153769813
-4.5,2.4,6705,6476,-3.456,0.301648155859809
-4.5,2.4,6705,6476,-3.384,0.394740746906917
-4.5,2.4,6705,6476,-3.312,0.348584629349194
-4.5,2.4,6705,6476,-3.24,0.280267701217172
-4.5,2.4,6705,6476,-3.168,0.269169700280273
-4.5,2.4,6705,6476,-3.096,0.178705689626053
-4.5,2.4,6705,6476,-3.024,0.109588287594701
-4.5,2.4,6705,6476,-2.952,0.109206674355057
-4.5,2.4,6705,6476,-2.88,0.123307472994207
-4.5,2.4,6705,6476,-2.808,0.131544309807749
-4.5,2.4,6705,6476,-2.736,0.140408116095021
-4.5,2.4,6705,6476,-2.664,0.154402163552601
-4.5,2.4,6705,6476,-2.592,0.176785981486911
-4.5,2.4,6705,6476,-2.52,0.199230221621495
-4.5,2.4,6705,6476,-2.448,0.185267793999047
-4.5,2.4,6705,6476,-2.376,0.127378263103813
-4.5,2.4,6705,6476,-2.304,0.0942982134606009
-4.5,2.4,6705,6476,-2.232,0.130998934386089
-4.5,2.4,6705,6476,-2.16,0.238217358287038
-4.5,2.4,6705,6476,-2.088,0.322522222115769
-4.5,2.4,6705,6476,-2.016,0.3460559051398
-4.5,2.4,6705,6476,-1.944,0.343901683428589
-4.5,2.4,6705,6476,-1.872,0.336644488421759
-4.5,2.4,6705,6476,-1.8,0.324905416843138
-4.5,2.4,6705,6476,-1.728,0.260735589200332
-4.5,2.4,6705,6476,-1.656,0.165982689445845
-4.5,2.4,6705,6476,-1.584,0.11826054435922
-4.5,2.4,6705,6476,-1.512,0.0952192524965663
-4.5,2.4,6705,6476,-1.44,0.0663233597550445
-4.5,2.4,6705,6476,-1.368,0.0977266452198388
-4.5,2.4,6705,6476,-1.296,0.203352395142075
-4.5,2.4,6705,6476,-1.224,0.212485133708379
-4.5,2.4,6705,6476,-1.152,0.230376653067708
-4.5,2.4,6705,6476,-1.08,0.268180004252989
-4.5,2.4,6705,6476,-1.008,0.146677191452919
-4.5,2.4,6705,6476,-0.936,0.0948972756863468
-4.5,2.4,6705,6476,-0.864,0.181737514404337
-4.5,2.4,6705,6476,-0.792,0.219955904962964
-4.5,2.4,6705,6476,-0.72,0.260345813694828
-4.5,2.4,6705,6476,-0.648,0.179530716165576
-4.5,2.4,6705,6476,-0.576,0.187264730490064
-4.5,2.4,6705,6476,-0.504,0.392002620044625
-4.5,2.4,6705,6476,-0.432,0.433169166116118
-4.5,2.4,6705,6476,-0.36,0.521729772860343
-4.5,2.4,6705,6476,-0.288,0.223962403387442
-4.5,2.4,6705,6476,-0.216,0.444025414601049
-4.5,2.4,6705,6476,-0.144,0.131815352375958
-4.5,2.4,6705,6476,-0.0719999999999996,0.488314579090548
-4.5,2.4,6705,6476,0,0.181165519955865
-4.5,2.4,6705,6476,0.0720000000000005,0.33299939069365
-4.5,2.4,6705,6476,0.144000000000001,0.199852346416281
-4.5,2.4,6705,6476,0.216,0.212993500796024
-4.5,2.4,6705,6476,0.288,0.384997853242127
-4.5,2.4,6705,6476,0.36,0.471622838462327
-4.5,2.4,6705,6476,0.432,0.463565395725755
-4.5,2.4,6705,6476,0.504,0.307960935474158
-4.5,2.4,6705,6476,0.576,0.167044089251264
-4.5,2.4,6705,6476,0.648,0.274511501277291
-4.5,2.4,6705,6476,0.72,0.27004308748695
-4.5,2.4,6705,6476,0.792,0.324760635823742
-4.5,2.4,6705,6476,0.864,0.318713394955983
-4.5,2.4,6705,6476,0.936,0.150397234332125
-4.5,2.4,6705,6476,1.008,0.212027984517569
-4.5,2.4,6705,6476,1.08,0.475984309490871
-4.5,2.4,6705,6476,1.152,0.438798888398441
-4.5,2.4,6705,6476,1.224,0.428440515503804
-4.5,2.4,6705,6476,1.296,0.483313584164997
-4.5,2.4,6705,6476,1.368,0.625398421367922
-4.5,2.4,6705,6476,1.44,0.600092760721652
-4.5,2.4,6705,6476,1.512,0.862487098344489
-4.5,2.4,6705,6476,1.584,0.809760831423293
-4.5,2.4,6705,6476,1.656,1
-4.5,2.4,6705,6476,1.728,0.617375107873714
-4.5,2.4,6705,6476,1.8,0.806823951943225
-4.5,2.4,6705,6476,1.872,0.739663798530084
-4.5,2.4,6705,6476,1.944,0.81018657237006
-4.5,2.4,6705,6476,2.016,0.75544778626054
-4.5,2.4,6705,6476,2.088,0.389910237155262
-4.5,2.4,6705,6476,2.16,0.550991942410653
-4.5,2.4,6705,6476,2.232,0.382556992167833
-4.5,2.4,6705,6476,2.304,0.550285396082276
-4.5,2.4,6705,6476,2.376,0.454601006214898
-4.5,2.4,6705,6476,2.448,0.560622736560528
-4.5,2.4,6705,6476,2.52,0.242569388104506
-4.5,2.4,6705,6476,2.592,0.27937624648897
-4.5,2.4,6705,6476,2.664,0.219748716824843
-4.5,2.4,6705,6476,2.736,0.135592000880374
-4.5,2.4,6705,6476,2.808,0.261612706673981
-4.5,2.4,6705,6476,2.88,0.25019571855283
-4.5,2.4,6705,6476,2.952,0.313652759827042
-4.5,2.4,6705,6476,3.024,0.159157846574618
-4.5,2.4,6705,6476,3.096,0.144170767839488
-4.5,2.4,6705,6476,3.168,0.262828740565273
-4.5,2.4,6705,6476,3.24,0.104984739208623
-4.5,2.4,6705,6476,3.312,0.297266572754829
-4.5,2.4,6705,6476,3.384,0.319624251940141
-4.5,2.4,6705,6476,3.456,0.40045648346661
-4.5,2.4,6705,6476,3.528,0.296668577944779
-4.5,2.4,6705,6476,3.6,0.22768563835695
-4.41,2.4,6705,6476,-3.6,0.268041499739259
-4.41,2.4,6705,6476,-3.528,0.134746307716569
-4.41,2.4,6705,6476,-3.456,0.316718043991517
-4.41,2.4,6705,6476,-3.384,0.414573102467162
-4.41,2.4,6705,6476,-3.312,0.481248177648516
-4.41,2.4,6705,6476,-3.24,0.460332514885476
-4.41,2.4,6705,6476,-3.168,0.441128996917287
-4.41,2.4,6705,6476,-3.096,0.400596102161953
-4.41,2.4,6705,6476,-3.024,0.295558522881798
-4.41,2.4,6705,6476,-2.952,0.200465818979235
-4.41,2.4,6705,6476,-2.88,0.224598845959683
-4.41,2.4,6705,6476,-2.808,0.227575500547184
-4.41,2.4,6705,6476,-2.736,0.167099939065535
-4.41,2.4,6705,6476,-2.664,0.157808163892749
-4.41,2.4,6705,6476,-2.592,0.204920314523654
-4.41,2.4,6705,6476,-2.52,0.246325068124548
-4.41,2.4,6705,6476,-2.448,0.257932183596352
-4.41,2.4,6705,6476,-2.376,0.221024347521283
-4.41,2.4,6705,6476,-2.304,0.177874143326178
-4.41,2.4,6705,6476,-2.232,0.173704136896118
-4.41,2.4,6705,6476,-2.16,0.19552687698123
-4.41,2.4,6705,6476,-2.088,0.286136070923491
-4.41,2.4,6705,6476,-2.016,0.41640761589592
-4.41,2.4,6705,6476,-1.944,0.538594920513836
-4.41,2.4,6705,6476,-1.872,0.57555970074556
-4.41,2.4,6705,6476,-1.8,0.475130038977907
-4.41,2.4,6705,6476,-1.728,0.360192647053095
-4.41,2.4,6705,6476,-1.656,0.319070594201141
-4.41,2.4,6705,6476,-1.584,0.242622319697052
-4.41,2.4,6705,6476,-1.512,0.176814586513516
-4.41,2.4,6705,6476,-1.44,0.145553304430631
-4.41,2.4,6705,6476,-1.368,0.0967473545244869
-4.41,2.4,6705,6476,-1.296,0.210382952205924
-4.41,2.4,6705,6476,-1.224,0.289420004294265
-4.41,2.4,6705,6476,-1.152,0.371358150905579
-4.41,2.4,6705,6476,-1.08,0.347418462807307
-4.41,2.4,6705,6476,-1.008,0.258372571691083
-4.41,2.4,6705,6476,-0.936,0.116651420934234
-4.41,2.4,6705,6476,-0.864,0.230309535393086
-4.41,2.4,6705,6476,-0.792,0.320723898935323
-4.41,2.4,6705,6476,-0.72,0.266415739968874
-4.41,2.4,6705,6476,-0.648,0.298954282768175
-4.41,2.4,6705,6476,-0.576,0.161036975524061
-4.41,2.4,6705,6476,-0.504,0.489660326700866
-4.41,2.4,6705,6476,-0.432,0.581126728460331
-4.41,2.4,6705,6476,-0.36,0.706010535691982
-4.41,2.4,6705,6476,-0.288,0.709294732345314
-4.41,2.4,6705,6476,-0.216,0.307818069492151
-4.41,2.4,6705,6476,-0.144,0.400838363570479
-4.41,2.4,6705,6476,-0.0719999999999996,0.526237455988632
-4.41,2.4,6705,6476,0,0.528774699392826
-4.41,2.4,6705,6476,0.0720000000000005,0.40133736561256
-4.41,2.4,6705,6476,0.144000000000001,0.225663747680414
-4.41,2.4,6705,6476,0.216,0.259399085843171
-4.41,2.4,6705,6476,0.288,0.305257154159079
-4.41,2.4,6705,6476,0.36,0.691720800310888
-4.41,2.4,6705,6476,0.432,0.548505125958413
-4.41,2.4,6705,6476,0.504,0.520376557676062
-4.41,2.4,6705,6476,0.576,0.510412646226503
-4.41,2.4,6705,6476,0.648,0.207661212272461
-4.41,2.4,6705,6476,0.72,0.30153214482379
-4.41,2.4,6705,6476,0.792,0.728239866603156
-4.41,2.4,6705,6476,0.864,0.537779698552767
-4.41,2.4,6705,6476,0.936,0.098919078187661
-4.41,2.4,6705,6476,1.008,0.102840138130759
-4.41,2.4,6705,6476,1.08,0.342625738493276
-4.41,2.4,6705,6476,1.152,0.33399486540511
-4.41,2.4,6705,6476,1.224,0.368865190715246
-4.41,2.4,6705,6476,1.296,0.863750348715721
-4.41,2.4,6705,6476,1.368,0.59559538781965
-4.41,2.4,6705,6476,1.44,0.847096735951777
-4.41,2.4,6705,6476,1.512,0.621678865413014
-4.41,2.4,6705,6476,1.584,0.966987335991467
-4.41,2.4,6705,6476,1.656,0.984424855809608
-4.41,2.4,6705,6476,1.728,0.881229834201197
-4.41,2.4,6705,6476,1.8,0.827489491079194
-4.41,2.4,6705,6476,1.872,0.676690832445754
-4.41,2.4,6705,6476,1.944,1
-4.41,2.4,6705,6476,2.016,0.951287493593663
-4.41,2.4,6705,6476,2.088,0.831285778093339
-4.41,2.4,6705,6476,2.16,0.924186859537833
