"_v [meter]","Freq [GHz]","x_coord [mm]","y_coord [mm]","_u []","NearETotal/max(NearETotal) []"
-4.5,2.4,7233,8489,-3.6,0.109045592848158
-4.5,2.4,7233,8489,-3.528,0.149086075359856
-4.5,2.4,7233,8489,-3.456,0.205837347440084
-4.5,2.4,7233,8489,-3.384,0.254997155498116
-4.5,2.4,7233,8489,-3.312,0.279877513832013
-4.5,2.4,7233,8489,-3.24,0.269588945588823
-4.5,2.4,7233,8489,-3.168,0.284345892558641
-4.5,2.4,7233,8489,-3.096,0.343364616904254
-4.5,2.4,7233,8489,-3.024,0.380426516232953
-4.5,2.4,7233,8489,-2.952,0.380665444432247
-4.5,2.4,7233,8489,-2.88,0.401184654737698
-4.5,2.4,7233,8489,-2.808,0.472243973758306
-4.5,2.4,7233,8489,-2.736,0.540908355855747
-4.5,2.4,7233,8489,-2.664,0.555379187570147
-4.5,2.4,7233,8489,-2.592,0.516819258132
-4.5,2.4,7233,8489,-2.52,0.496497900982969
-4.5,2.4,7233,8489,-2.448,0.443128999163906
-4.5,2.4,7233,8489,-2.376,0.353137622228692
-4.5,2.4,7233,8489,-2.304,0.270523882139682
-4.5,2.4,7233,8489,-2.232,0.258878301167899
-4.5,2.4,7233,8489,-2.16,0.265283248843179
-4.5,2.4,7233,8489,-2.088,0.222026992465887
-4.5,2.4,7233,8489,-2.016,0.164343012026406
-4.5,2.4,7233,8489,-1.944,0.13849508798349
-4.5,2.4,7233,8489,-1.872,0.126006555817041
-4.5,2.4,7233,8489,-1.8,0.131870755893705
-4.5,2.4,7233,8489,-1.728,0.16137696548935
-4.5,2.4,7233,8489,-1.656,0.185282363481179
-4.5,2.4,7233,8489,-1.584,0.238313932567399
-4.5,2.4,7233,8489,-1.512,0.348238652671165
-4.5,2.4,7233,8489,-1.44,0.408646899545108
-4.5,2.4,7233,8489,-1.368,0.461004851386284
-4.5,2.4,7233,8489,-1.296,0.565637943746056
-4.5,2.4,7233,8489,-1.224,0.591661116022351
-4.5,2.4,7233,8489,-1.152,0.544337247467709
-4.5,2.4,7233,8489,-1.08,0.595088520628365
-4.5,2.4,7233,8489,-1.008,0.689695205225509
-4.5,2.4,7233,8489,-0.936,0.65920745416924
-4.5,2.4,7233,8489,-0.864,0.582938902302629
-4.5,2.4,7233,8489,-0.792,0.563326095303703
-4.5,2.4,7233,8489,-0.72,0.511810199217387
-4.5,2.4,7233,8489,-0.648,0.455725295444793
-4.5,2.4,7233,8489,-0.576,0.502785970563618
-4.5,2.4,7233,8489,-0.504,0.412296705876609
-4.5,2.4,7233,8489,-0.432,0.206729546942714
-4.5,2.4,7233,8489,-0.36,0.290375715386597
-4.5,2.4,7233,8489,-0.288,0.323856891707719
-4.5,2.4,7233,8489,-0.216,0.334163724577096
-4.5,2.4,7233,8489,-0.144,0.317525438943625
-4.5,2.4,7233,8489,-0.0719999999999996,0.494730486024746
-4.5,2.4,7233,8489,0,0.520169640505144
-4.5,2.4,7233,8489,0.0720000000000005,0.589121044406888
-4.5,2.4,7233,8489,0.144000000000001,0.7912594145912
-4.5,2.4,7233,8489,0.216,0.867312613029298
-4.5,2.4,7233,8489,0.288,0.787972067231058
-4.5,2.4,7233,8489,0.36,0.771553161929822
-4.5,2.4,7233,8489,0.432,0.669954890903874
-4.5,2.4,7233,8489,0.504,0.649809975966972
-4.5,2.4,7233,8489,0.576,0.627231374244036
-4.5,2.4,7233,8489,0.648,0.513921883031368
-4.5,2.4,7233,8489,0.72,0.497495232236487
-4.5,2.4,7233,8489,0.792,0.456258311210948
-4.5,2.4,7233,8489,0.864,0.416281034231801
-4.5,2.4,7233,8489,0.936,0.326466165429847
-4.5,2.4,7233,8489,1.008,0.232611417983245
-4.5,2.4,7233,8489,1.08,0.300241127781566
-4.5,2.4,7233,8489,1.152,0.968113971051399
-4.5,2.4,7233,8489,1.224,0.678803653677648
-4.5,2.4,7233,8489,1.296,0.658447730078775
-4.5,2.4,7233,8489,1.368,0.736448664827933
-4.5,2.4,7233,8489,1.44,0.638495259411317
-4.5,2.4,7233,8489,1.512,0.959276861658671
-4.5,2.4,7233,8489,1.584,0.943900587941896
-4.5,2.4,7233,8489,1.656,0.802196736827547
-4.5,2.4,7233,8489,1.728,0.861153005398475
-4.5,2.4,7233,8489,1.8,0.968287988404197
-4.5,2.4,7233,8489,1.872,1
-4.5,2.4,7233,8489,1.944,0.924733139715213
-4.5,2.4,7233,8489,2.016,0.896498345459731
-4.5,2.4,7233,8489,2.088,0.797399742123612
-4.5,2.4,7233,8489,2.16,0.907603973875484
-4.5,2.4,7233,8489,2.232,0.757315254393378
-4.5,2.4,7233,8489,2.304,0.715833844366848
-4.5,2.4,7233,8489,2.376,0.944688456061733
-4.5,2.4,7233,8489,2.448,0.921282964260615
-4.5,2.4,7233,8489,2.52,0.891597375547226
-4.5,2.4,7233,8489,2.592,0.806871156663378
-4.5,2.4,7233,8489,2.664,0.681189110678981
-4.5,2.4,7233,8489,2.736,0.656340090390168
-4.5,2.4,7233,8489,2.808,0.662605781297241
-4.5,2.4,7233,8489,2.88,0.674284369569282
-4.5,2.4,7233,8489,2.952,0.599922727847716
-4.5,2.4,7233,8489,3.024,0.671302328486515
-4.5,2.4,7233,8489,3.096,0.503949534981463
-4.5,2.4,7233,8489,3.168,0.591910047564671
-4.5,2.4,7233,8489,3.24,0.661102503547083
-4.5,2.4,7233,8489,3.312,0.51010474966147
-4.5,2.4,7233,8489,3.384,0.592976256403241
-4.5,2.4,7233,8489,3.456,0.517822197730996
-4.5,2.4,7233,8489,3.528,0.669172079143362
-4.5,2.4,7233,8489,3.6,0.819390436837034
-4.41,2.4,7233,8489,-3.6,0.0780732237517843
-4.41,2.4,7233,8489,-3.528,0.0952018288960224
-4.41,2.4,7233,8489,-3.456,0.172285461638838
-4.41,2.4,7233,8489,-3.384,0.205034551906324
-4.41,2.4,7233,8489,-3.312,0.225899955854563
-4.41,2.4,7233,8489,-3.24,0.262310675540791
-4.41,2.4,7233,8489,-3.168,0.297594642126799
-4.41,2.4,7233,8489,-3.096,0.306570188035087
-4.41,2.4,7233,8489,-3.024,0.30522496289427
-4.41,2.4,7233,8489,-2.952,0.345109412523948
-4.41,2.4,7233,8489,-2.88,0.387405058613752
-4.41,2.4,7233,8489,-2.808,0.41019692943484
-4.41,2.4,7233,8489,-2.736,0.435487900137826
-4.41,2.4,7233,8489,-2.664,0.485062362176999
-4.41,2.4,7233,8489,-2.592,0.5414707741073
-4.41,2.4,7233,8489,-2.52,0.532352321826011
-4.41,2.4,7233,8489,-2.448,0.457720028593124
-4.41,2.4,7233,8489,-2.376,0.385109863949471
-4.41,2.4,7233,8489,-2.304,0.346395606388304
-4.41,2.4,7233,8489,-2.232,0.302645244755652
-4.41,2.4,7233,8489,-2.16,0.233113602463175
-4.41,2.4,7233,8489,-2.088,0.212828607218551
-4.41,2.4,7233,8489,-2.016,0.220544912168163
-4.41,2.4,7233,8489,-1.944,0.171757088085189
-4.41,2.4,7233,8489,-1.872,0.11597177046601
-4.41,2.4,7233,8489,-1.8,0.0911465691126979
-4.41,2.4,7233,8489,-1.728,0.0936760680118437
-4.41,2.4,7233,8489,-1.656,0.160707913790311
-4.41,2.4,7233,8489,-1.584,0.231681833673634
-4.41,2.4,7233,8489,-1.512,0.264853023886263
-4.41,2.4,7233,8489,-1.44,0.316250229207323
-4.41,2.4,7233,8489,-1.368,0.433241132825306
-4.41,2.4,7233,8489,-1.296,0.494699929144826
-4.41,2.4,7233,8489,-1.224,0.509204438081834
-4.41,2.4,7233,8489,-1.152,0.552485299311086
-4.41,2.4,7233,8489,-1.08,0.606604327366925
-4.41,2.4,7233,8489,-1.008,0.600971159279572
-4.41,2.4,7233,8489,-0.936,0.605466154987475
-4.41,2.4,7233,8489,-0.864,0.660643181719662
-4.41,2.4,7233,8489,-0.792,0.583847397935994
-4.41,2.4,7233,8489,-0.72,0.484495882553138
-4.41,2.4,7233,8489,-0.648,0.506468165549493
-4.41,2.4,7233,8489,-0.576,0.494511065726771
-4.41,2.4,7233,8489,-0.504,0.376849040663338
-4.41,2.4,7233,8489,-0.432,0.26879527469278
-4.41,2.4,7233,8489,-0.36,0.343317909111722
-4.41,2.4,7233,8489,-0.288,0.27512902286859
-4.41,2.4,7233,8489,-0.216,0.280476211234639
-4.41,2.4,7233,8489,-0.144,0.389367869256859
-4.41,2.4,7233,8489,-0.0719999999999996,0.327512574340888
-4.41,2.4,7233,8489,0,0.436203234790652
-4.41,2.4,7233,8489,0.0720000000000005,0.594424460469806
-4.41,2.4,7233,8489,0.144000000000001,0.68835062173433
-4.41,2.4,7233,8489,0.216,0.741192502543522
-4.41,2.4,7233,8489,0.288,0.836236636993476
-4.41,2.4,7233,8489,0.36,0.806666196570695
-4.41,2.4,7233,8489,0.432,0.678767890925368
-4.41,2.4,7233,8489,0.504,0.611073446452872
-4.41,2.4,7233,8489,0.576,0.581877011845203
-4.41,2.4,7233,8489,0.648,0.564336099150492
-4.41,2.4,7233,8489,0.72,0.518946309121742
-4.41,2.4,7233,8489,0.792,0.428052686826719
-4.41,2.4,7233,8489,0.864,0.549218543690341
-4.41,2.4,7233,8489,0.936,0.409847035535701
-4.41,2.4,7233,8489,1.008,0.201128193980845
-4.41,2.4,7233,8489,1.08,0.218389575316276
-4.41,2.4,7233,8489,1.152,0.360902647213318
-4.41,2.4,7233,8489,1.224,0.414219357336547
-4.41,2.4,7233,8489,1.296,0.606771759006247
-4.41,2.4,7233,8489,1.368,0.777952185457477
-4.41,2.4,7233,8489,1.44,0.778528112494478
-4.41,2.4,7233,8489,1.512,0.846792026557122
-4.41,2.4,7233,8489,1.584,0.931657997225073
-4.41,2.4,7233,8489,1.656,1
-4.41,2.4,7233,8489,1.728,0.853547892105815
-4.41,2.4,7233,8489,1.8,0.995547898875718
-4.41,2.4,7233,8489,1.872,0.99297576554276
-4.41,2.4,7233,8489,1.944,0.927250408165193
-4.41,2.4,7233,8489,2.016,0.867975517908494
-4.41,2.4,7233,8489,2.088,0.77999332270299
-4.41,2.4,7233,8489,2.16,0.752428858078141
-4.41,2.4,7233,8489,2.232,0.722526238947638
-4.41,2.4,7233,8489,2.304,0.825335577304036
-4.41,2.4,7233,8489,2.376,0.903238805364775
-4.41,2.4,7233,8489,2.448,0.76333970394917
-4.41,2.4,7233,8489,2.52,0.787819485804702
-4.41,2.4,7233,8489,2.592,0.795054770573762
-4.41,2.4,7233,8489,2.664,0.635871685490225
-4.41,2.4,7233,8489,2.736,0.619910668721812
-4.41,2.4,7233,8489,2.808,0.607338640021297
-4.41,2.4,7233,8489,2.88,0.743536292437289
-4.41,2.4,7233,8489,2.952,0.739666659177121
-4.41,2.4,7233,8489,3.024,0.613312707770774
