"_v [meter]","Freq [GHz]","x_coord [mm]","y_coord [mm]","_u []","NearETotal/max(NearETotal) []"
-4.5,2.4,2036,6657,-3.6,0.169904915654014
-4.5,2.4,2036,6657,-3.528,0.23969245911837
-4.5,2.4,2036,6657,-3.456,0.174300835918214
-4.5,2.4,2036,6657,-3.384,0.207026723381014
-4.5,2.4,2036,6657,-3.312,0.179224193126021
-4.5,2.4,2036,6657,-3.24,0.103913134569245
-4.5,2.4,2036,6657,-3.168,0.176498617472873
-4.5,2.4,2036,6657,-3.096,0.1897019419925
-4.5,2.4,2036,6657,-3.024,0.189769867491488
-4.5,2.4,2036,6657,-2.952,0.123832735240451
-4.5,2.4,2036,6657,-2.88,0.172966512472548
-4.5,2.4,2036,6657,-2.808,0.0880220117026469
-4.5,2.4,2036,6657,-2.736,0.268534463920454
-4.5,2.4,2036,6657,-2.664,0.217488920441246
-4.5,2.4,2036,6657,-2.592,0.317684577615862
-4.5,2.4,2036,6657,-2.52,0.277276883985173
-4.5,2.4,2036,6657,-2.448,0.353860841657163
-4.5,2.4,2036,6657,-2.376,0.304415210227577
-4.5,2.4,2036,6657,-2.304,0.308298961204162
-4.5,2.4,2036,6657,-2.232,0.250492976952169
-4.5,2.4,2036,6657,-2.16,0.234198308480762
-4.5,2.4,2036,6657,-2.088,0.110961833259205
-4.5,2.4,2036,6657,-2.016,0.272807729134684
-4.5,2.4,2036,6657,-1.944,0.178559867780428
-4.5,2.4,2036,6657,-1.872,0.309140112971672
-4.5,2.4,2036,6657,-1.8,0.300804873777049
-4.5,2.4,2036,6657,-1.728,0.592153615387107
-4.5,2.4,2036,6657,-1.656,0.33361299842999
-4.5,2.4,2036,6657,-1.584,0.365106111752159
-4.5,2.4,2036,6657,-1.512,0.223652905942319
-4.5,2.4,2036,6657,-1.44,0.281450187750069
-4.5,2.4,2036,6657,-1.368,0.431220984982162
-4.5,2.4,2036,6657,-1.296,0.532570139396388
-4.5,2.4,2036,6657,-1.224,0.644908662404947
-4.5,2.4,2036,6657,-1.152,0.296206131359774
-4.5,2.4,2036,6657,-1.08,0.10865260814017
-4.5,2.4,2036,6657,-1.008,0.494433593172403
-4.5,2.4,2036,6657,-0.936,0.76642719776503
-4.5,2.4,2036,6657,-0.864,1
-4.5,2.4,2036,6657,-0.792,0.853589019863955
-4.5,2.4,2036,6657,-0.72,0.806306643740117
-4.5,2.4,2036,6657,-0.648,0.366023530323404
-4.5,2.4,2036,6657,-0.576,0.392932799883231
-4.5,2.4,2036,6657,-0.504,0.223779529562821
-4.5,2.4,2036,6657,-0.432,0.203098464709556
-4.5,2.4,2036,6657,-0.36,0.158626709885405
-4.5,2.4,2036,6657,-0.288,0.262898384681006
-4.5,2.4,2036,6657,-0.216,0.131251598840124
-4.5,2.4,2036,6657,-0.144,0.160668266849948
-4.5,2.4,2036,6657,-0.0719999999999996,0.221365288844733
-4.5,2.4,2036,6657,0,0.37458147612013
-4.5,2.4,2036,6657,0.0720000000000005,0.301100357994004
-4.5,2.4,2036,6657,0.144000000000001,0.336112497985272
-4.5,2.4,2036,6657,0.216,0.342677176147986
-4.5,2.4,2036,6657,0.288,0.315500749666281
-4.5,2.4,2036,6657,0.36,0.263386673647247
-4.5,2.4,2036,6657,0.432,0.241930313035002
-4.5,2.4,2036,6657,0.504,0.185763359927026
-4.5,2.4,2036,6657,0.576,0.224322558830013
-4.5,2.4,2036,6657,0.648,0.215868757380666
-4.5,2.4,2036,6657,0.72,0.405747385679241
-4.5,2.4,2036,6657,0.792,0.250399411147826
-4.5,2.4,2036,6657,0.864,0.307817702829124
-4.5,2.4,2036,6657,0.936,0.375410964432424
-4.5,2.4,2036,6657,1.008,0.360018951431656
-4.5,2.4,2036,6657,1.08,0.27641990659266
-4.5,2.4,2036,6657,1.152,0.287883966293684
-4.5,2.4,2036,6657,1.224,0.301331433692577
-4.5,2.4,2036,6657,1.296,0.396406450988368
-4.5,2.4,2036,6657,1.368,0.34631721263666
-4.5,2.4,2036,6657,1.44,0.253410668431242
-4.5,2.4,2036,6657,1.512,0.176774581109585
-4.5,2.4,2036,6657,1.584,0.133211658076397
-4.5,2.4,2036,6657,1.656,0.207662298451676
-4.5,2.4,2036,6657,1.728,0.23678758138412
-4.5,2.4,2036,6657,1.8,0.22362842930386
-4.5,2.4,2036,6657,1.872,0.221079858750637
-4.5,2.4,2036,6657,1.944,0.261588580235135
-4.5,2.4,2036,6657,2.016,0.270815430992221
-4.5,2.4,2036,6657,2.088,0.267418184400084
-4.5,2.4,2036,6657,2.16,0.268998228792072
-4.5,2.4,2036,6657,2.232,0.232357395366261
-4.5,2.4,2036,6657,2.304,0.162139907191014
-4.5,2.4,2036,6657,2.376,0.0909557555931103
-4.5,2.4,2036,6657,2.448,0.104916511770695
-4.5,2.4,2036,6657,2.52,0.104670818378315
-4.5,2.4,2036,6657,2.592,0.131544185615229
-4.5,2.4,2036,6657,2.664,0.142819394190794
-4.5,2.4,2036,6657,2.736,0.128632190934628
-4.5,2.4,2036,6657,2.808,0.159763448510854
-4.5,2.4,2036,6657,2.88,0.172839892327403
-4.5,2.4,2036,6657,2.952,0.186786315197014
-4.5,2.4,2036,6657,3.024,0.192066500924601
-4.5,2.4,2036,6657,3.096,0.174897520102497
-4.5,2.4,2036,6657,3.168,0.163599943443118
-4.5,2.4,2036,6657,3.24,0.17667938194904
-4.5,2.4,2036,6657,3.312,0.174654743932048
-4.5,2.4,2036,6657,3.384,0.187867308795471
-4.5,2.4,2036,6657,3.456,0.214281269476526
-4.5,2.4,2036,6657,3.528,0.231164612968003
-4.5,2.4,2036,6657,3.6,0.222118646683291
-4.41,2.4,2036,6657,-3.6,0.208584581941254
-4.41,2.4,2036,6657,-3.528,0.18313805017601
-4.41,2.4,2036,6657,-3.456,0.170292411966829
-4.41,2.4,2036,6657,-3.384,0.209003690057038
-4.41,2.4,2036,6657,-3.312,0.152350866079726
-4.41,2.4,2036,6657,-3.24,0.156488252691777
-4.41,2.4,2036,6657,-3.168,0.0899633016931373
-4.41,2.4,2036,6657,-3.096,0.211704042635598
-4.41,2.4,2036,6657,-3.024,0.188044082640805
-4.41,2.4,2036,6657,-2.952,0.201888689401685
-4.41,2.4,2036,6657,-2.88,0.169090718124916
