"_v [meter]","Freq [GHz]","x_coord [mm]","y_coord [mm]","_u []","NearETotal/max(NearETotal) []"
-4.5,2.4,6245,8107,-3.6,0.193110754512549
-4.5,2.4,6245,8107,-3.528,0.15278021851727
-4.5,2.4,6245,8107,-3.456,0.137383882699848
-4.5,2.4,6245,8107,-3.384,0.188153424457836
-4.5,2.4,6245,8107,-3.312,0.246735392217222
-4.5,2.4,6245,8107,-3.24,0.201877239572903
-4.5,2.4,6245,8107,-3.168,0.217058543942255
-4.5,2.4,6245,8107,-3.096,0.281861249426432
-4.5,2.4,6245,8107,-3.024,0.27180913615051
-4.5,2.4,6245,8107,-2.952,0.244861146469423
-4.5,2.4,6245,8107,-2.88,0.226441897384775
-4.5,2.4,6245,8107,-2.808,0.158451347555217
-4.5,2.4,6245,8107,-2.736,0.127442709748836
-4.5,2.4,6245,8107,-2.664,0.25025541212659
-4.5,2.4,6245,8107,-2.592,0.372612056754007
-4.5,2.4,6245,8107,-2.52,0.433856621473404
-4.5,2.4,6245,8107,-2.448,0.451003381071463
-4.5,2.4,6245,8107,-2.376,0.388121469353928
-4.5,2.4,6245,8107,-2.304,0.268324003228461
-4.5,2.4,6245,8107,-2.232,0.172366959194664
-4.5,2.4,6245,8107,-2.16,0.145435442593768
-4.5,2.4,6245,8107,-2.088,0.145556169389379
-4.5,2.4,6245,8107,-2.016,0.136977580952823
-4.5,2.4,6245,8107,-1.944,0.131630133225104
-4.5,2.4,6245,8107,-1.872,0.140292470137975
-4.5,2.4,6245,8107,-1.8,0.205531057371912
-4.5,2.4,6245,8107,-1.728,0.271677568601009
-4.5,2.4,6245,8107,-1.656,0.334887677155558
-4.5,2.4,6245,8107,-1.584,0.409157915554498
-4.5,2.4,6245,8107,-1.512,0.435915290792073
-4.5,2.4,6245,8107,-1.44,0.456547792056682
-4.5,2.4,6245,8107,-1.368,0.49914071280591
-4.5,2.4,6245,8107,-1.296,0.428216080807812
-4.5,2.4,6245,8107,-1.224,0.234205740633487
-4.5,2.4,6245,8107,-1.152,0.101886543279492
-4.5,2.4,6245,8107,-1.08,0.110509231625148
-4.5,2.4,6245,8107,-1.008,0.124226465374146
-4.5,2.4,6245,8107,-0.936,0.12274286748099
-4.5,2.4,6245,8107,-0.864,0.112399187390006
-4.5,2.4,6245,8107,-0.792,0.141815227901052
-4.5,2.4,6245,8107,-0.72,0.147093533236009
-4.5,2.4,6245,8107,-0.648,0.0800960686897237
-4.5,2.4,6245,8107,-0.576,0.07360587788994
-4.5,2.4,6245,8107,-0.504,0.181583055375702
-4.5,2.4,6245,8107,-0.432,0.203277123754178
-4.5,2.4,6245,8107,-0.36,0.200248162958238
-4.5,2.4,6245,8107,-0.288,0.165632842955098
-4.5,2.4,6245,8107,-0.216,0.141696016536678
-4.5,2.4,6245,8107,-0.144,0.219867804205756
-4.5,2.4,6245,8107,-0.0719999999999996,0.452839250881064
-4.5,2.4,6245,8107,0,0.37893020126725
-4.5,2.4,6245,8107,0.0720000000000005,0.345723438319144
-4.5,2.4,6245,8107,0.144000000000001,0.22801159339258
-4.5,2.4,6245,8107,0.216,0.304199601829594
-4.5,2.4,6245,8107,0.288,0.323076835796646
-4.5,2.4,6245,8107,0.36,0.208169794974947
-4.5,2.4,6245,8107,0.432,0.296322840301334
-4.5,2.4,6245,8107,0.504,0.403597577369932
-4.5,2.4,6245,8107,0.576,0.457422045440333
-4.5,2.4,6245,8107,0.648,0.4234759904406
-4.5,2.4,6245,8107,0.72,0.289970587903432
-4.5,2.4,6245,8107,0.792,0.229503757593833
-4.5,2.4,6245,8107,0.864,0.274474898105104
-4.5,2.4,6245,8107,0.936,0.375375826594479
-4.5,2.4,6245,8107,1.008,0.293200747395183
-4.5,2.4,6245,8107,1.08,0.449059862176966
-4.5,2.4,6245,8107,1.152,0.165058072495648
-4.5,2.4,6245,8107,1.224,0.184999491166352
-4.5,2.4,6245,8107,1.296,0.377142354703661
-4.5,2.4,6245,8107,1.368,0.195291369369688
