"_v [meter]","Freq [GHz]","x_coord [mm]","y_coord [mm]","_u []","NearETotal/max(NearETotal) []"
-4.5,2.4,1229,734,-3.6,0.72067459539887
-4.5,2.4,1229,734,-3.528,0.686432546714559
-4.5,2.4,1229,734,-3.456,0.89224870884415
-4.5,2.4,1229,734,-3.384,0.634748295342344
-4.5,2.4,1229,734,-3.312,0.497922976725308
-4.5,2.4,1229,734,-3.24,0.507007110945709
-4.5,2.4,1229,734,-3.168,0.54134909712514
-4.5,2.4,1229,734,-3.096,0.611621632574418
-4.5,2.4,1229,734,-3.024,0.300728184279409
-4.5,2.4,1229,734,-2.952,0.352068156327078
-4.5,2.4,1229,734,-2.88,0.432783227671518
-4.5,2.4,1229,734,-2.808,0.411581536523102
-4.5,2.4,1229,734,-2.736,0.388214481127349
-4.5,2.4,1229,734,-2.664,0.237476204189976
-4.5,2.4,1229,734,-2.592,0.242608120959312
-4.5,2.4,1229,734,-2.52,0.228987117575846
-4.5,2.4,1229,734,-2.448,0.214882044449652
-4.5,2.4,1229,734,-2.376,0.283651347437699
-4.5,2.4,1229,734,-2.304,0.208969865390169
-4.5,2.4,1229,734,-2.232,0.352392196974501
-4.5,2.4,1229,734,-2.16,0.29745212485211
-4.5,2.4,1229,734,-2.088,0.295412329209865
-4.5,2.4,1229,734,-2.016,0.263390178392233
-4.5,2.4,1229,734,-1.944,0.36313979313655
-4.5,2.4,1229,734,-1.872,0.451423988777262
-4.5,2.4,1229,734,-1.8,0.462445845808626
-4.5,2.4,1229,734,-1.728,0.561298224376954
-4.5,2.4,1229,734,-1.656,0.638481115760985
-4.5,2.4,1229,734,-1.584,0.710891639004295
-4.5,2.4,1229,734,-1.512,0.752036217346028
-4.5,2.4,1229,734,-1.44,0.633859424822612
-4.5,2.4,1229,734,-1.368,0.645966622109511
-4.5,2.4,1229,734,-1.296,0.815260917133011
-4.5,2.4,1229,734,-1.224,1
-4.5,2.4,1229,734,-1.152,0.953406331927576
-4.5,2.4,1229,734,-1.08,0.74194004741731
-4.5,2.4,1229,734,-1.008,0.719355605472673
-4.5,2.4,1229,734,-0.936,0.85019673750474
-4.5,2.4,1229,734,-0.864,0.864793015822857
-4.5,2.4,1229,734,-0.792,0.656545767410211
-4.5,2.4,1229,734,-0.72,0.511625022182906
-4.5,2.4,1229,734,-0.648,0.191194881096909
-4.5,2.4,1229,734,-0.576,0.175623929911053
-4.5,2.4,1229,734,-0.504,0.15470337319337
-4.5,2.4,1229,734,-0.432,0.102609416196256
-4.5,2.4,1229,734,-0.36,0.115069897959822
-4.5,2.4,1229,734,-0.288,0.0234127054338851
-4.5,2.4,1229,734,-0.216,0.061104438446375
-4.5,2.4,1229,734,-0.144,0.0963421269062667
-4.5,2.4,1229,734,-0.0719999999999996,0.0885388556196011
-4.5,2.4,1229,734,0,0.108102672492839
-4.5,2.4,1229,734,0.0720000000000005,0.149161097317222
-4.5,2.4,1229,734,0.144000000000001,0.0293188869270883
-4.5,2.4,1229,734,0.216,0.0428749555525411
-4.5,2.4,1229,734,0.288,0.102514844863277
-4.5,2.4,1229,734,0.36,0.0648893657040891
-4.5,2.4,1229,734,0.432,0.105563170840852
-4.5,2.4,1229,734,0.504,0.0616265148480377
-4.5,2.4,1229,734,0.576,0.10059563784704
-4.5,2.4,1229,734,0.648,0.068408462100844
-4.5,2.4,1229,734,0.72,0.112426905577532
-4.5,2.4,1229,734,0.792,0.0977363762439586
-4.5,2.4,1229,734,0.864,0.0447815774974597
-4.5,2.4,1229,734,0.936,0.112345366560104
-4.5,2.4,1229,734,1.008,0.0548257157122331
-4.5,2.4,1229,734,1.08,0.113754752971375
-4.5,2.4,1229,734,1.152,0.10589499378679
-4.5,2.4,1229,734,1.224,0.117106685404979
-4.5,2.4,1229,734,1.296,0.078175055146053
-4.5,2.4,1229,734,1.368,0.14204032011608
-4.5,2.4,1229,734,1.44,0.103568079815837
-4.5,2.4,1229,734,1.512,0.0757817045789179
-4.5,2.4,1229,734,1.584,0.10854696622726
-4.5,2.4,1229,734,1.656,0.137469322181071
-4.5,2.4,1229,734,1.728,0.106862215900343
-4.5,2.4,1229,734,1.8,0.0679406422352941
