"_v [meter]","Freq [GHz]","x_coord [mm]","y_coord [mm]","_u []","NearETotal/max(NearETotal) []"
-4.5,2.4,5929,2365,-3.6,0.118483519471222
-4.5,2.4,5929,2365,-3.528,0.118551289799249
-4.5,2.4,5929,2365,-3.456,0.122416628252818
-4.5,2.4,5929,2365,-3.384,0.12562408428748
-4.5,2.4,5929,2365,-3.312,0.137263463047887
-4.5,2.4,5929,2365,-3.24,0.140587982080902
-4.5,2.4,5929,2365,-3.168,0.14915704649153
-4.5,2.4,5929,2365,-3.096,0.161376431430986
-4.5,2.4,5929,2365,-3.024,0.165530516956279
-4.5,2.4,5929,2365,-2.952,0.175951724586941
-4.5,2.4,5929,2365,-2.88,0.183260933443352
-4.5,2.4,5929,2365,-2.808,0.189830137250935
-4.5,2.4,5929,2365,-2.736,0.197647366162115
-4.5,2.4,5929,2365,-2.664,0.191327541373376
-4.5,2.4,5929,2365,-2.592,0.183962677926681
-4.5,2.4,5929,2365,-2.52,0.176593540645592
-4.5,2.4,5929,2365,-2.448,0.178752693154234
-4.5,2.4,5929,2365,-2.376,0.183222473045315
-4.5,2.4,5929,2365,-2.304,0.182252389124271
-4.5,2.4,5929,2365,-2.232,0.195936858747084
-4.5,2.4,5929,2365,-2.16,0.202601166018919
-4.5,2.4,5929,2365,-2.088,0.209477382189966
-4.5,2.4,5929,2365,-2.016,0.193948730335307
-4.5,2.4,5929,2365,-1.944,0.174876506816767
-4.5,2.4,5929,2365,-1.872,0.149681660585773
-4.5,2.4,5929,2365,-1.8,0.132815882114216
-4.5,2.4,5929,2365,-1.728,0.106477830360661
-4.5,2.4,5929,2365,-1.656,0.101565058470262
-4.5,2.4,5929,2365,-1.584,0.105557818941106
-4.5,2.4,5929,2365,-1.512,0.125555215077228
-4.5,2.4,5929,2365,-1.44,0.145153446324598
-4.5,2.4,5929,2365,-1.368,0.17453478060807
-4.5,2.4,5929,2365,-1.296,0.178686986395651
