"_v [meter]","Freq [GHz]","x_coord [mm]","y_coord [mm]","_u []","NearETotal/max(NearETotal) []"
-4.5,2.4,5879,1602,-3.6,0.100829810781267
-4.5,2.4,5879,1602,-3.528,0.0986040223915287
-4.5,2.4,5879,1602,-3.456,0.0929398106909174
-4.5,2.4,5879,1602,-3.384,0.0970522576591488
-4.5,2.4,5879,1602,-3.312,0.100946090336045
-4.5,2.4,5879,1602,-3.24,0.0981116101410302
-4.5,2.4,5879,1602,-3.168,0.0960636509270042
-4.5,2.4,5879,1602,-3.096,0.0929720155061207
-4.5,2.4,5879,1602,-3.024,0.0880166846339071
-4.5,2.4,5879,1602,-2.952,0.089564079670699
-4.5,2.4,5879,1602,-2.88,0.0940687257883348
-4.5,2.4,5879,1602,-2.808,0.0896939722167481
-4.5,2.4,5879,1602,-2.736,0.0894117221249524
-4.5,2.4,5879,1602,-2.664,0.0905380375981215
-4.5,2.4,5879,1602,-2.592,0.104244928831512
-4.5,2.4,5879,1602,-2.52,0.117945841425781
-4.5,2.4,5879,1602,-2.448,0.121564094695422
-4.5,2.4,5879,1602,-2.376,0.123386300481772
-4.5,2.4,5879,1602,-2.304,0.10935234408478
-4.5,2.4,5879,1602,-2.232,0.108408754356207
-4.5,2.4,5879,1602,-2.16,0.111660657070061
-4.5,2.4,5879,1602,-2.088,0.114653364527263
-4.5,2.4,5879,1602,-2.016,0.107245795395642
-4.5,2.4,5879,1602,-1.944,0.101952382338368
-4.5,2.4,5879,1602,-1.872,0.0978951180164598
-4.5,2.4,5879,1602,-1.8,0.104268816850274
-4.5,2.4,5879,1602,-1.728,0.0966152844382694
-4.5,2.4,5879,1602,-1.656,0.0910531056055159
-4.5,2.4,5879,1602,-1.584,0.0911306749513483
-4.5,2.4,5879,1602,-1.512,0.0980556491338876
-4.5,2.4,5879,1602,-1.44,0.102929008332709
-4.5,2.4,5879,1602,-1.368,0.0994120652542202
-4.5,2.4,5879,1602,-1.296,0.0901507584874461
-4.5,2.4,5879,1602,-1.224,0.13260562166824
-4.5,2.4,5879,1602,-1.152,0.154634824715797
-4.5,2.4,5879,1602,-1.08,0.149024983076257
-4.5,2.4,5879,1602,-1.008,0.162445760791406
-4.5,2.4,5879,1602,-0.936,0.176405760782245
-4.5,2.4,5879,1602,-0.864,0.179248308120478
-4.5,2.4,5879,1602,-0.792,0.176677490709977
-4.5,2.4,5879,1602,-0.72,0.168749940976
-4.5,2.4,5879,1602,-0.648,0.148793117869308
-4.5,2.4,5879,1602,-0.576,0.138407735913924
-4.5,2.4,5879,1602,-0.504,0.149677329057878
-4.5,2.4,5879,1602,-0.432,0.145877769522667
-4.5,2.4,5879,1602,-0.36,0.127875628561283
-4.5,2.4,5879,1602,-0.288,0.0863653997946633
-4.5,2.4,5879,1602,-0.216,0.0491355628094671
-4.5,2.4,5879,1602,-0.144,0.0642502308860139
-4.5,2.4,5879,1602,-0.0719999999999996,0.0871900559099741
-4.5,2.4,5879,1602,0,0.119402712721846
-4.5,2.4,5879,1602,0.0720000000000005,0.104621014092729
-4.5,2.4,5879,1602,0.144000000000001,0.133618119903514
-4.5,2.4,5879,1602,0.216,0.175642895547903
-4.5,2.4,5879,1602,0.288,0.169996026464077
-4.5,2.4,5879,1602,0.36,0.109319671298055
-4.5,2.4,5879,1602,0.432,0.0823326723308673
-4.5,2.4,5879,1602,0.504,0.0385938621610294
-4.5,2.4,5879,1602,0.576,0.0446952930121026
-4.5,2.4,5879,1602,0.648,0.0765641267254174
-4.5,2.4,5879,1602,0.72,0.0838138889866946
-4.5,2.4,5879,1602,0.792,0.071070905409572
-4.5,2.4,5879,1602,0.864,0.0796416411311613
-4.5,2.4,5879,1602,0.936,0.0762139296760136
-4.5,2.4,5879,1602,1.008,0.0800884729731765
-4.5,2.4,5879,1602,1.08,0.915033818202349
-4.5,2.4,5879,1602,1.152,0.949521581833362
-4.5,2.4,5879,1602,1.224,0.766282137448051
-4.5,2.4,5879,1602,1.296,0.98023059592827
-4.5,2.4,5879,1602,1.368,0.69853656485792
-4.5,2.4,5879,1602,1.44,1
-4.5,2.4,5879,1602,1.512,0.790436436603599
-4.5,2.4,5879,1602,1.584,0.940488134513331
-4.5,2.4,5879,1602,1.656,0.698476295806662
-4.5,2.4,5879,1602,1.728,0.650199471995875
-4.5,2.4,5879,1602,1.8,0.826149378103134
-4.5,2.4,5879,1602,1.872,0.65060067864681
-4.5,2.4,5879,1602,1.944,0.73634169337363
-4.5,2.4,5879,1602,2.016,0.571612350035422
-4.5,2.4,5879,1602,2.088,0.54177541056707
-4.5,2.4,5879,1602,2.16,0.75365282322018
-4.5,2.4,5879,1602,2.232,0.360116393168999
-4.5,2.4,5879,1602,2.304,0.717612620697201
-4.5,2.4,5879,1602,2.376,0.626304901556021
-4.5,2.4,5879,1602,2.448,0.678462353667994
-4.5,2.4,5879,1602,2.52,0.80534663849772
-4.5,2.4,5879,1602,2.592,0.830681358991726
-4.5,2.4,5879,1602,2.664,0.606585033544671
-4.5,2.4,5879,1602,2.736,0.759913568409011
-4.5,2.4,5879,1602,2.808,0.630645700125101
-4.5,2.4,5879,1602,2.88,0.833886578302244
-4.5,2.4,5879,1602,2.952,0.738515048034645
-4.5,2.4,5879,1602,3.024,0.82638729565497
-4.5,2.4,5879,1602,3.096,0.929754789149083
-4.5,2.4,5879,1602,3.168,0.770228715940344
-4.5,2.4,5879,1602,3.24,0.707794814865969
-4.5,2.4,5879,1602,3.312,0.794187570258352
-4.5,2.4,5879,1602,3.384,0.885898155050911
-4.5,2.4,5879,1602,3.456,0.842506997663588
-4.5,2.4,5879,1602,3.528,0.581685607583357
-4.5,2.4,5879,1602,3.6,0.853078132054191
-4.41,2.4,5879,1602,-3.6,0.0983500507392164
-4.41,2.4,5879,1602,-3.528,0.100305701460328
-4.41,2.4,5879,1602,-3.456,0.103768090083471
-4.41,2.4,5879,1602,-3.384,0.0984554128133727
-4.41,2.4,5879,1602,-3.312,0.0967913203655042
-4.41,2.4,5879,1602,-3.24,0.102924796590606
-4.41,2.4,5879,1602,-3.168,0.104896855338304
-4.41,2.4,5879,1602,-3.096,0.105444975559765
-4.41,2.4,5879,1602,-3.024,0.106234274791416
-4.41,2.4,5879,1602,-2.952,0.101807504558575
-4.41,2.4,5879,1602,-2.88,0.0984151345127158
-4.41,2.4,5879,1602,-2.808,0.104613728842613
-4.41,2.4,5879,1602,-2.736,0.103712356055874
-4.41,2.4,5879,1602,-2.664,0.103305917008982
-4.41,2.4,5879,1602,-2.592,0.0981777718254362
-4.41,2.4,5879,1602,-2.52,0.10229197045051
-4.41,2.4,5879,1602,-2.448,0.118561933791517
