"_v [meter]","Freq [GHz]","x_coord [mm]","y_coord [mm]","_u []","NearETotal/max(NearETotal) []"
-4.5,2.4,1763,4960,-3.6,0.559376252594967
-4.5,2.4,1763,4960,-3.528,0.439907433580428
-4.5,2.4,1763,4960,-3.456,0.366697021177418
-4.5,2.4,1763,4960,-3.384,0.410043179598532
-4.5,2.4,1763,4960,-3.312,0.454316555073298
-4.5,2.4,1763,4960,-3.24,0.411792182797959
-4.5,2.4,1763,4960,-3.168,0.30696914539045
-4.5,2.4,1763,4960,-3.096,0.225889614625349
-4.5,2.4,1763,4960,-3.024,0.23418963618283
-4.5,2.4,1763,4960,-2.952,0.298980747704354
-4.5,2.4,1763,4960,-2.88,0.359819035784865
-4.5,2.4,1763,4960,-2.808,0.375248772449967
-4.5,2.4,1763,4960,-2.736,0.372046212712645
-4.5,2.4,1763,4960,-2.664,0.462123200501747
-4.5,2.4,1763,4960,-2.592,0.629770104964878
-4.5,2.4,1763,4960,-2.52,0.748316714606691
-4.5,2.4,1763,4960,-2.448,0.778562097987043
-4.5,2.4,1763,4960,-2.376,0.790323994751127
-4.5,2.4,1763,4960,-2.304,0.858775738845475
-4.5,2.4,1763,4960,-2.232,0.936954240867418
-4.5,2.4,1763,4960,-2.16,0.942180599781713
-4.5,2.4,1763,4960,-2.088,0.888764617699106
-4.5,2.4,1763,4960,-2.016,0.883892302130942
-4.5,2.4,1763,4960,-1.944,0.953611735611819
-4.5,2.4,1763,4960,-1.872,1
-4.5,2.4,1763,4960,-1.8,0.963179424270009
-4.5,2.4,1763,4960,-1.728,0.889193120928858
-4.5,2.4,1763,4960,-1.656,0.851463683444346
-4.5,2.4,1763,4960,-1.584,0.850468215097909
-4.5,2.4,1763,4960,-1.512,0.830532226376471
-4.5,2.4,1763,4960,-1.44,0.769527503095909
-4.5,2.4,1763,4960,-1.368,0.702304009059235
-4.5,2.4,1763,4960,-1.296,0.70076811305557
-4.5,2.4,1763,4960,-1.224,0.778950721612132
-4.5,2.4,1763,4960,-1.152,0.860264670191893
-4.5,2.4,1763,4960,-1.08,0.876411959999268
-4.5,2.4,1763,4960,-1.008,0.822906617786856
-4.5,2.4,1763,4960,-0.936,0.769561838857179
-4.5,2.4,1763,4960,-0.864,0.791702922936239
-4.5,2.4,1763,4960,-0.792,0.858372253295876
-4.5,2.4,1763,4960,-0.72,0.88379319025603
-4.5,2.4,1763,4960,-0.648,0.818839799594512
-4.5,2.4,1763,4960,-0.576,0.693984545616883
-4.5,2.4,1763,4960,-0.504,0.594363775492872
-4.5,2.4,1763,4960,-0.432,0.587272672393347
-4.5,2.4,1763,4960,-0.36,0.620013486820729
-4.5,2.4,1763,4960,-0.288,0.604183619667475
-4.5,2.4,1763,4960,-0.216,0.509658625483347
-4.5,2.4,1763,4960,-0.144,0.356702275685297
-4.5,2.4,1763,4960,-0.0719999999999996,0.203007320079696
-4.5,2.4,1763,4960,0,0.127116140625531
-4.5,2.4,1763,4960,0.0720000000000005,0.123427993770868
-4.5,2.4,1763,4960,0.144000000000001,0.0989536446022026
-4.5,2.4,1763,4960,0.216,0.075030508815443
-4.5,2.4,1763,4960,0.288,0.159085699412985
-4.5,2.4,1763,4960,0.36,0.274976628250525
-4.5,2.4,1763,4960,0.432,0.364887498146657
-4.5,2.4,1763,4960,0.504,0.4033664829637
-4.5,2.4,1763,4960,0.576,0.393071527642206
-4.5,2.4,1763,4960,0.648,0.35338595681766
-4.5,2.4,1763,4960,0.72,0.323783645828612
-4.5,2.4,1763,4960,0.792,0.336191589126209
-4.5,2.4,1763,4960,0.864,0.38744055981219
-4.5,2.4,1763,4960,0.936,0.443833446215523
-4.5,2.4,1763,4960,1.008,0.476655361368348
-4.5,2.4,1763,4960,1.08,0.476249324458083
-4.5,2.4,1763,4960,1.152,0.443372787600464
-4.5,2.4,1763,4960,1.224,0.388452765177382
-4.5,2.4,1763,4960,1.296,0.324519050667286
-4.5,2.4,1763,4960,1.368,0.267404740623403
-4.5,2.4,1763,4960,1.44,0.236882665632001
-4.5,2.4,1763,4960,1.512,0.238507281616237
-4.5,2.4,1763,4960,1.584,0.261675889934182
-4.5,2.4,1763,4960,1.656,0.292348350418125
-4.5,2.4,1763,4960,1.728,0.322347190012603
-4.5,2.4,1763,4960,1.8,0.349770201170574
-4.5,2.4,1763,4960,1.872,0.369058171904282
-4.5,2.4,1763,4960,1.944,0.378096180638353
-4.5,2.4,1763,4960,2.016,0.3783007025776
-4.5,2.4,1763,4960,2.088,0.370870927687709
-4.5,2.4,1763,4960,2.16,0.359984420586236
-4.5,2.4,1763,4960,2.232,0.345817090253477
